DATE,moh_icu_current_covid,moh_icu_current_covid_vented,moh_hospitalizations,moh_icu_crci_total,moh_icu_crci_total_vented,moh_icu_former_covid,moh_icu_former_covid_vented
2020-04-01,51,39,141,0,0,0,0
2020-04-02,57,52,143,0,0,0,0
2020-04-03,65,57,174,0,0,0,0
2020-04-04,65,55,187,0,0,0,0
2020-04-05,73,58,183,0,0,0,0
2020-04-06,83,68,203,0,0,0,0
2020-04-07,85,68,205,0,0,0,0
2020-04-08,92,73,218,0,0,0,0
2020-04-09,88,73,230,0,0,0,0
2020-04-10,90,77,237,0,0,0,0
2020-04-11,93,70,248,0,0,0,0
2020-04-12,92,78,265,0,0,0,0
2020-04-13,89,73,284,0,0,0,0
2020-04-14,89,74,287,0,0,0,0
2020-04-15,86,67,293,0,0,0,0
2020-04-16,86,72,298,0,0,0,0
2020-04-17,90,74,299,0,0,0,0
2020-04-18,88,73,309,0,0,0,0
2020-04-19,87,74,317,0,0,0,0
2020-04-20,88,72,316,0,0,0,0
2020-04-21,85,68,320,0,0,0,0
2020-04-22,85,67,351,0,0,0,0
2020-04-23,88,67,367,0,0,0,0
2020-04-24,91,73,383,0,0,0,0
2020-04-25,92,70,382,0,0,0,0
2020-04-26,91,70,370,0,0,0,0
2020-04-27,89,65,381,0,0,0,0
2020-04-28,86,64,402,0,0,0,0
2020-04-29,86,61,411,0,0,0,0
2020-04-30,79,59,415,0,0,0,0
2020-05-01,79,55,396,83,64,4,9
2020-05-02,87,65,396,91,67,4,2
2020-05-03,85,66,433,89,69,4,3
2020-05-04,86,67,435,90,72,4,5
2020-05-05,84,67,433,90,74,6,7
2020-05-06,83,60,437,86,70,3,10
2020-05-07,81,64,445,85,69,4,5
2020-05-08,78,63,391,82,68,4,5
2020-05-09,76,53,433,80,63,4,10
2020-05-10,75,58,445,81,64,6,6
2020-05-11,78,60,452,83,63,5,3
2020-05-12,76,56,458,80,59,4,3
2020-05-13,74,55,451,77,59,3,4
2020-05-14,73,56,458,77,60,4,4
2020-05-15,74,59,439,78,63,4,4
2020-05-16,65,57,439,70,60,5,3
2020-05-17,68,56,444,73,59,5,3
2020-05-18,66,53,453,76,60,10,7
2020-05-19,67,51,449,78,59,11,8
2020-05-20,66,52,429,77,60,11,8
2020-05-21,64,52,409,76,61,12,9
2020-05-22,63,52,395,78,62,15,10
2020-05-23,64,49,402,80,64,16,15
2020-05-24,61,50,386,76,64,15,14
2020-05-25,62,50,388,77,64,15,14
2020-05-26,65,54,389,78,64,13,10
2020-05-27,66,42,383,79,63,13,21
2020-05-28,61,52,387,76,62,15,10
2020-05-29,60,39,368,75,60,15,21
2020-05-30,60,47,359,76,56,16,9
2020-05-31,62,48,378,76,57,14,9
2020-06-01,61,47,384,75,56,14,9
2020-06-02,62,49,380,75,60,13,11
2020-06-03,58,45,364,72,54,14,9
2020-06-04,57,45,326,71,55,14,10
2020-06-05,58,48,320,71,56,13,8
2020-06-06,55,45,304,66,55,11,10
2020-06-07,53,41,285,64,51,11,10
2020-06-08,51,41,282,62,48,11,7
2020-06-09,52,39,252,62,47,10,8
2020-06-10,53,40,231,64,48,11,8
2020-06-11,48,34,222,60,46,12,12
2020-06-12,46,21,206,58,39,12,18
2020-06-13,45,30,193,57,41,12,11
2020-06-14,44,23,191,57,35,13,12
2020-06-15,42,27,175,56,38,14,11
2020-06-16,37,24,167,50,34,13,10
2020-06-17,33,19,149,48,30,15,11
2020-06-18,31,23,157,46,30,15,7
2020-06-19,29,22,146,46,35,17,13
2020-06-20,31,22,143,48,34,17,12
2020-06-21,24,17,148,44,30,20,13
2020-06-22,25,18,139,45,30,20,12
2020-06-23,24,18,132,42,32,18,14
2020-06-24,22,19,126,40,32,18,13
2020-06-25,21,17,122,40,29,19,12
2020-06-26,19,15,108,39,29,20,14
2020-06-27,19,14,111,39,27,20,13
2020-06-28,19,14,99,40,25,21,11
2020-06-29,16,14,104,34,24,18,10
2020-06-30,18,13,62,32,22,14,9
2020-07-01,19,12,62,35,23,16,11
2020-07-02,19,12,59,34,23,15,11
2020-07-04,18,9,49,31,15,13,6
2020-07-05,18,9,50,30,17,12,8
2020-07-06,17,11,48,28,18,11,7
2020-07-07,17,13,47,27,19,10,6
2020-07-08,15,11,44,25,17,10,6
2020-07-09,17,11,52,26,17,9,6
2020-07-10,14,9,45,23,15,9,6
2020-07-11,14,10,47,23,15,9,5
2020-07-12,12,10,46,20,15,8,5
