Category: All categories

Week,divorce: (Ontario)
2018-01-07,53
2018-01-14,52
2018-01-21,58
2018-01-28,54
2018-02-04,54
2018-02-11,61
2018-02-18,58
2018-02-25,56
2018-03-04,57
2018-03-11,78
2018-03-18,75
2018-03-25,64
2018-04-01,62
2018-04-08,62
2018-04-15,66
2018-04-22,52
2018-04-29,56
2018-05-06,56
2018-05-13,54
2018-05-20,64
2018-05-27,57
2018-06-03,53
2018-06-10,62
2018-06-17,61
2018-06-24,47
2018-07-01,59
2018-07-08,63
2018-07-15,57
2018-07-22,61
2018-07-29,57
2018-08-05,57
2018-08-12,58
2018-08-19,58
2018-08-26,50
2018-09-02,43
2018-09-09,53
2018-09-16,54
2018-09-23,58
2018-09-30,47
2018-10-07,48
2018-10-14,49
2018-10-21,49
2018-10-28,53
2018-11-04,54
2018-11-11,43
2018-11-18,45
2018-11-25,51
2018-12-02,54
2018-12-09,48
2018-12-16,49
2018-12-23,47
2018-12-30,52
2019-01-06,71
2019-01-13,65
2019-01-20,51
2019-01-27,52
2019-02-03,59
2019-02-10,57
2019-02-17,58
2019-02-24,53
2019-03-03,49
2019-03-10,55
2019-03-17,55
2019-03-24,57
2019-03-31,63
2019-04-07,58
2019-04-14,55
2019-04-21,59
2019-04-28,51
2019-05-05,55
2019-05-12,50
2019-05-19,51
2019-05-26,50
2019-06-02,55
2019-06-09,51
2019-06-16,47
2019-06-23,53
2019-06-30,54
2019-07-07,58
2019-07-14,59
2019-07-21,63
2019-07-28,55
2019-08-04,59
2019-08-11,55
2019-08-18,60
2019-08-25,54
2019-09-01,54
2019-09-08,57
2019-09-15,50
2019-09-22,49
2019-09-29,52
2019-10-06,51
2019-10-13,53
2019-10-20,49
2019-10-27,50
2019-11-03,51
2019-11-10,52
2019-11-17,51
2019-11-24,53
2019-12-01,53
2019-12-08,55
2019-12-15,58
2019-12-22,60
2019-12-29,63
2020-01-05,68
2020-01-12,66
2020-01-19,61
2020-01-26,63
2020-02-02,59
2020-02-09,65
2020-02-16,63
2020-02-23,68
2020-03-01,66
2020-03-08,50
2020-03-15,50
2020-03-22,45
2020-03-29,54
2020-04-05,65
2020-04-12,54
2020-04-19,50
2020-04-26,56
2020-05-03,56
2020-05-10,49
2020-05-17,57
2020-05-24,63
2020-05-31,58
2020-06-07,69
2020-06-14,63
2020-06-21,57
2020-06-28,68
2020-07-05,69
2020-07-12,63
2020-07-19,74
2020-07-26,60
2020-08-02,58
2020-08-09,75
2020-08-16,67
2020-08-23,70
2020-08-30,68
2020-09-06,60
2020-09-13,68
2020-09-20,60
2020-09-27,54
2020-10-04,63
2020-10-11,63
2020-10-18,66
2020-10-25,58
2020-11-01,58
2020-11-08,80
2020-11-15,64
2020-11-22,58
2020-11-29,60
2020-12-06,65
2020-12-13,59
2020-12-20,55
2020-12-27,54
2021-01-03,92
2021-01-10,69
2021-01-17,63
2021-01-24,58
2021-01-31,59
2021-02-07,58
2021-02-14,67
2021-02-21,66
2021-02-28,56
2021-03-07,59
2021-03-14,56
2021-03-21,50
2021-03-28,53
2021-04-04,52
2021-04-11,51
2021-04-18,47
2021-04-25,53
2021-05-02,100
2021-05-09,63
2021-05-16,56
2021-05-23,52
2021-05-30,53
2021-06-06,55
2021-06-13,47
2021-06-20,50
2021-06-27,54
2021-07-04,54
2021-07-11,55
2021-07-18,57
2021-07-25,59
2021-08-01,57
2021-08-08,63
2021-08-15,59
2021-08-22,56
2021-08-29,57
2021-09-05,54
2021-09-12,50
2021-09-19,53
2021-09-26,48
2021-10-03,51
2021-10-10,54
2021-10-17,47
2021-10-24,56
2021-10-31,53
2021-11-07,55
2021-11-14,59
2021-11-21,59
2021-11-28,46
2021-12-05,54
2021-12-12,53
2021-12-19,46
2021-12-26,56
2022-01-02,52
2022-01-09,58
2022-01-16,57
2022-01-23,54
2022-01-30,59
2022-02-06,57
2022-02-13,52
2022-02-20,50
2022-02-27,58
2022-03-06,57
2022-03-13,52
2022-03-20,59
2022-03-27,51
2022-04-03,52
2022-04-10,53
2022-04-17,60
2022-04-24,56
2022-05-01,61
2022-05-08,52
2022-05-15,50
2022-05-22,47
2022-05-29,54
2022-06-05,56
2022-06-12,51
2022-06-19,52
2022-06-26,43
2022-07-03,52
2022-07-10,54
2022-07-17,54
2022-07-24,56
2022-07-31,54
2022-08-07,52
2022-08-14,55
2022-08-21,61
2022-08-28,55
2022-09-04,56
2022-09-11,51
2022-09-18,65
2022-09-25,54
2022-10-02,65
2022-10-09,50
2022-10-16,45
2022-10-23,57
2022-10-30,55
2022-11-06,58
2022-11-13,55
2022-11-20,42
2022-11-27,51
2022-12-04,53
2022-12-11,48
2022-12-18,44
2022-12-25,49
2023-01-01,48
2023-01-08,54
2023-01-15,57
2023-01-22,54
2023-01-29,53
2023-02-05,51
2023-02-12,51
2023-02-19,53
2023-02-26,55
