Category: All categories

Week,cognitive behavioral therapy: (Ontario)
2018-01-07,0
2018-01-14,69
2018-01-21,68
2018-01-28,39
2018-02-04,0
2018-02-11,39
2018-02-18,47
2018-02-25,61
2018-03-04,57
2018-03-11,48
2018-03-18,19
2018-03-25,72
2018-04-01,22
2018-04-08,50
2018-04-15,36
2018-04-22,0
2018-04-29,13
2018-05-06,62
2018-05-13,60
2018-05-20,37
2018-05-27,34
2018-06-03,45
2018-06-10,84
2018-06-17,48
2018-06-24,0
2018-07-01,49
2018-07-08,68
2018-07-15,35
2018-07-22,32
2018-07-29,67
2018-08-05,35
2018-08-12,36
2018-08-19,26
2018-08-26,31
2018-09-02,0
2018-09-09,51
2018-09-16,65
2018-09-23,24
2018-09-30,46
2018-10-07,74
2018-10-14,26
2018-10-21,65
2018-10-28,35
2018-11-04,51
2018-11-11,37
2018-11-18,43
2018-11-25,78
2018-12-02,59
2018-12-09,41
2018-12-16,39
2018-12-23,26
2018-12-30,19
2019-01-06,33
2019-01-13,51
2019-01-20,47
2019-01-27,42
2019-02-03,44
2019-02-10,50
2019-02-17,20
2019-02-24,53
2019-03-03,44
2019-03-10,52
2019-03-17,36
2019-03-24,22
2019-03-31,45
2019-04-07,40
2019-04-14,40
2019-04-21,0
2019-04-28,36
2019-05-05,57
2019-05-12,42
2019-05-19,61
2019-05-26,44
2019-06-02,43
2019-06-09,0
2019-06-16,28
2019-06-23,42
2019-06-30,18
2019-07-07,35
2019-07-14,19
2019-07-21,43
2019-07-28,78
2019-08-04,56
2019-08-11,0
2019-08-18,21
2019-08-25,12
2019-09-01,40
2019-09-08,21
2019-09-15,74
2019-09-22,57
2019-09-29,38
2019-10-06,93
2019-10-13,50
2019-10-20,0
2019-10-27,33
2019-11-03,71
2019-11-10,48
2019-11-17,80
2019-11-24,51
2019-12-01,54
2019-12-08,46
2019-12-15,26
2019-12-22,40
2019-12-29,48
2020-01-05,44
2020-01-12,53
2020-01-19,68
2020-01-26,38
2020-02-02,66
2020-02-09,25
2020-02-16,65
2020-02-23,0
2020-03-01,81
2020-03-08,51
2020-03-15,28
2020-03-22,60
2020-03-29,57
2020-04-05,0
2020-04-12,67
2020-04-19,18
2020-04-26,49
2020-05-03,43
2020-05-10,57
2020-05-17,60
2020-05-24,20
2020-05-31,51
2020-06-07,54
2020-06-14,57
2020-06-21,59
2020-06-28,13
2020-07-05,0
2020-07-12,22
2020-07-19,56
2020-07-26,45
2020-08-02,42
2020-08-09,43
2020-08-16,30
2020-08-23,53
2020-08-30,38
2020-09-06,36
2020-09-13,35
2020-09-20,23
2020-09-27,54
2020-10-04,51
2020-10-11,33
2020-10-18,59
2020-10-25,53
2020-11-01,34
2020-11-08,57
2020-11-15,37
2020-11-22,37
2020-11-29,34
2020-12-06,97
2020-12-13,44
2020-12-20,27
2020-12-27,28
2021-01-03,30
2021-01-10,52
2021-01-17,38
2021-01-24,59
2021-01-31,40
2021-02-07,57
2021-02-14,59
2021-02-21,71
2021-02-28,63
2021-03-07,49
2021-03-14,0
2021-03-21,41
2021-03-28,54
2021-04-04,64
2021-04-11,27
2021-04-18,32
2021-04-25,0
2021-05-02,41
2021-05-09,63
2021-05-16,39
2021-05-23,33
2021-05-30,45
2021-06-06,33
2021-06-13,30
2021-06-20,56
2021-06-27,13
2021-07-04,50
2021-07-11,77
2021-07-18,26
2021-07-25,66
2021-08-01,33
2021-08-08,55
2021-08-15,43
2021-08-22,0
2021-08-29,89
2021-09-05,18
2021-09-12,0
2021-09-19,48
2021-09-26,35
2021-10-03,62
2021-10-10,30
2021-10-17,39
2021-10-24,36
2021-10-31,62
2021-11-07,33
2021-11-14,0
2021-11-21,22
2021-11-28,43
2021-12-05,100
2021-12-12,37
2021-12-19,17
2021-12-26,31
2022-01-02,53
2022-01-09,64
2022-01-16,44
2022-01-23,38
2022-01-30,66
2022-02-06,71
2022-02-13,22
2022-02-20,43
2022-02-27,49
2022-03-06,65
2022-03-13,62
2022-03-20,42
2022-03-27,66
2022-04-03,88
2022-04-10,41
2022-04-17,45
2022-04-24,30
2022-05-01,65
2022-05-08,36
2022-05-15,25
2022-05-22,63
2022-05-29,20
2022-06-05,75
2022-06-12,27
2022-06-19,56
2022-06-26,49
2022-07-03,53
2022-07-10,47
2022-07-17,39
2022-07-24,38
2022-07-31,57
2022-08-07,19
2022-08-14,31
2022-08-21,21
2022-08-28,48
2022-09-04,18
2022-09-11,60
2022-09-18,27
2022-09-25,47
2022-10-02,38
2022-10-09,10
2022-10-16,26
2022-10-23,29
2022-10-30,39
2022-11-06,73
2022-11-13,38
2022-11-20,69
2022-11-27,46
2022-12-04,21
2022-12-11,57
2022-12-18,36
2022-12-25,0
2023-01-01,33
2023-01-08,22
2023-01-15,35
2023-01-22,52
2023-01-29,47
2023-02-05,80
2023-02-12,0
2023-02-19,46
2023-02-26,11
