Category: All categories

Week,unemployment: (Ontario)
2018-01-07,15
2018-01-14,14
2018-01-21,15
2018-01-28,14
2018-02-04,14
2018-02-11,12
2018-02-18,10
2018-02-25,13
2018-03-04,14
2018-03-11,11
2018-03-18,12
2018-03-25,11
2018-04-01,13
2018-04-08,11
2018-04-15,10
2018-04-22,9
2018-04-29,10
2018-05-06,10
2018-05-13,9
2018-05-20,9
2018-05-27,12
2018-06-03,13
2018-06-10,12
2018-06-17,10
2018-06-24,10
2018-07-01,12
2018-07-08,10
2018-07-15,11
2018-07-22,10
2018-07-29,11
2018-08-05,11
2018-08-12,11
2018-08-19,10
2018-08-26,10
2018-09-02,10
2018-09-09,12
2018-09-16,11
2018-09-23,12
2018-09-30,13
2018-10-07,12
2018-10-14,13
2018-10-21,11
2018-10-28,12
2018-11-04,12
2018-11-11,9
2018-11-18,9
2018-11-25,11
2018-12-02,14
2018-12-09,14
2018-12-16,11
2018-12-23,9
2018-12-30,12
2019-01-06,14
2019-01-13,13
2019-01-20,14
2019-01-27,13
2019-02-03,13
2019-02-10,11
2019-02-17,12
2019-02-24,10
2019-03-03,12
2019-03-10,13
2019-03-17,13
2019-03-24,12
2019-03-31,11
2019-04-07,10
2019-04-14,9
2019-04-21,11
2019-04-28,11
2019-05-05,11
2019-05-12,11
2019-05-19,9
2019-05-26,11
2019-06-02,10
2019-06-09,10
2019-06-16,10
2019-06-23,11
2019-06-30,11
2019-07-07,11
2019-07-14,10
2019-07-21,10
2019-07-28,9
2019-08-04,10
2019-08-11,10
2019-08-18,10
2019-08-25,10
2019-09-01,9
2019-09-08,11
2019-09-15,11
2019-09-22,11
2019-09-29,11
2019-10-06,11
2019-10-13,8
2019-10-20,14
2019-10-27,12
2019-11-03,11
2019-11-10,11
2019-11-17,12
2019-11-24,10
2019-12-01,13
2019-12-08,13
2019-12-15,13
2019-12-22,10
2019-12-29,10
2020-01-05,12
2020-01-12,11
2020-01-19,14
2020-01-26,13
2020-02-02,15
2020-02-09,12
2020-02-16,11
2020-02-23,11
2020-03-01,12
2020-03-08,16
2020-03-15,87
2020-03-22,100
2020-03-29,58
2020-04-05,59
2020-04-12,36
2020-04-19,29
2020-04-26,24
2020-05-03,26
2020-05-10,20
2020-05-17,23
2020-05-24,21
2020-05-31,22
2020-06-07,22
2020-06-14,17
2020-06-21,18
2020-06-28,18
2020-07-05,19
2020-07-12,16
2020-07-19,15
2020-07-26,15
2020-08-02,16
2020-08-09,16
2020-08-16,13
2020-08-23,13
2020-08-30,12
2020-09-06,11
2020-09-13,13
2020-09-20,14
2020-09-27,17
2020-10-04,17
2020-10-11,18
2020-10-18,15
2020-10-25,15
2020-11-01,13
2020-11-08,12
2020-11-15,11
2020-11-22,13
2020-11-29,13
2020-12-06,13
2020-12-13,13
2020-12-20,14
2020-12-27,12
2021-01-03,15
2021-01-10,16
2021-01-17,17
2021-01-24,17
2021-01-31,14
2021-02-07,16
2021-02-14,12
2021-02-21,12
2021-02-28,13
2021-03-07,11
2021-03-14,11
2021-03-21,13
2021-03-28,9
2021-04-04,12
2021-04-11,13
2021-04-18,12
2021-04-25,9
2021-05-02,10
2021-05-09,10
2021-05-16,9
2021-05-23,9
2021-05-30,10
2021-06-06,8
2021-06-13,9
2021-06-20,8
2021-06-27,9
2021-07-04,10
2021-07-11,10
2021-07-18,9
2021-07-25,6
2021-08-01,10
2021-08-08,9
2021-08-15,9
2021-08-22,7
2021-08-29,8
2021-09-05,10
2021-09-12,10
2021-09-19,11
2021-09-26,13
2021-10-03,11
2021-10-10,9
2021-10-17,12
2021-10-24,10
2021-10-31,8
2021-11-07,8
2021-11-14,9
2021-11-21,10
2021-11-28,9
2021-12-05,11
2021-12-12,10
2021-12-19,8
2021-12-26,9
2022-01-02,14
2022-01-09,12
2022-01-16,12
2022-01-23,14
2022-01-30,11
2022-02-06,10
2022-02-13,12
2022-02-20,11
2022-02-27,12
2022-03-06,11
2022-03-13,9
2022-03-20,11
2022-03-27,11
2022-04-03,12
2022-04-10,10
2022-04-17,13
2022-04-24,9
2022-05-01,9
2022-05-08,8
2022-05-15,10
2022-05-22,8
2022-05-29,8
2022-06-05,9
2022-06-12,10
2022-06-19,8
2022-06-26,8
2022-07-03,10
2022-07-10,9
2022-07-17,8
2022-07-24,8
2022-07-31,8
2022-08-07,8
2022-08-14,8
2022-08-21,7
2022-08-28,7
2022-09-04,8
2022-09-11,7
2022-09-18,9
2022-09-25,8
2022-10-02,11
2022-10-09,9
2022-10-16,9
2022-10-23,9
2022-10-30,10
2022-11-06,10
2022-11-13,9
2022-11-20,10
2022-11-27,10
2022-12-04,9
2022-12-11,10
2022-12-18,7
2022-12-25,7
2023-01-01,9
2023-01-08,10
2023-01-15,12
2023-01-22,12
2023-01-29,13
2023-02-05,12
2023-02-12,10
2023-02-19,8
2023-02-26,8
