Category: All categories

Week,symptoms: (Ontario)
2018-01-07,24
2018-01-14,23
2018-01-21,23
2018-01-28,23
2018-02-04,23
2018-02-11,23
2018-02-18,22
2018-02-25,23
2018-03-04,22
2018-03-11,21
2018-03-18,22
2018-03-25,20
2018-04-01,20
2018-04-08,20
2018-04-15,20
2018-04-22,19
2018-04-29,20
2018-05-06,20
2018-05-13,19
2018-05-20,20
2018-05-27,19
2018-06-03,19
2018-06-10,19
2018-06-17,19
2018-06-24,19
2018-07-01,19
2018-07-08,19
2018-07-15,19
2018-07-22,19
2018-07-29,19
2018-08-05,20
2018-08-12,20
2018-08-19,19
2018-08-26,19
2018-09-02,18
2018-09-09,19
2018-09-16,20
2018-09-23,20
2018-09-30,19
2018-10-07,20
2018-10-14,19
2018-10-21,21
2018-10-28,20
2018-11-04,21
2018-11-11,20
2018-11-18,22
2018-11-25,21
2018-12-02,21
2018-12-09,20
2018-12-16,21
2018-12-23,19
2018-12-30,21
2019-01-06,22
2019-01-13,22
2019-01-20,22
2019-01-27,21
2019-02-03,22
2019-02-10,21
2019-02-17,23
2019-02-24,21
2019-03-03,23
2019-03-10,22
2019-03-17,22
2019-03-24,23
2019-03-31,21
2019-04-07,22
2019-04-14,19
2019-04-21,20
2019-04-28,21
2019-05-05,21
2019-05-12,21
2019-05-19,21
2019-05-26,20
2019-06-02,19
2019-06-09,20
2019-06-16,20
2019-06-23,20
2019-06-30,19
2019-07-07,20
2019-07-14,19
2019-07-21,20
2019-07-28,20
2019-08-04,20
2019-08-11,20
2019-08-18,20
2019-08-25,19
2019-09-01,18
2019-09-08,20
2019-09-15,20
2019-09-22,21
2019-09-29,20
2019-10-06,20
2019-10-13,20
2019-10-20,20
2019-10-27,19
2019-11-03,20
2019-11-10,19
2019-11-17,21
2019-11-24,21
2019-12-01,19
2019-12-08,21
2019-12-15,20
2019-12-22,19
2019-12-29,22
2020-01-05,21
2020-01-12,23
2020-01-19,28
2020-01-26,41
2020-02-02,27
2020-02-09,24
2020-02-16,23
2020-02-23,27
2020-03-01,41
2020-03-08,97
2020-03-15,100
2020-03-22,68
2020-03-29,46
2020-04-05,32
2020-04-12,27
2020-04-19,26
2020-04-26,24
2020-05-03,25
2020-05-10,23
2020-05-17,22
2020-05-24,23
2020-05-31,23
2020-06-07,23
2020-06-14,24
2020-06-21,26
2020-06-28,26
2020-07-05,28
2020-07-12,26
2020-07-19,24
2020-07-26,25
2020-08-02,24
2020-08-09,25
2020-08-16,22
2020-08-23,26
2020-08-30,26
2020-09-06,26
2020-09-13,28
2020-09-20,33
2020-09-27,35
2020-10-04,32
2020-10-11,32
2020-10-18,29
2020-10-25,28
2020-11-01,24
2020-11-08,28
2020-11-15,28
2020-11-22,28
2020-11-29,29
2020-12-06,30
2020-12-13,30
2020-12-20,30
2020-12-27,29
2021-01-03,29
2021-01-10,28
2021-01-17,26
2021-01-24,26
2021-01-31,27
2021-02-07,26
2021-02-14,26
2021-02-21,25
2021-02-28,25
2021-03-07,29
2021-03-14,29
2021-03-21,29
2021-03-28,31
2021-04-04,32
2021-04-11,32
2021-04-18,33
2021-04-25,30
2021-05-02,29
2021-05-09,31
2021-05-16,26
2021-05-23,24
2021-05-30,25
2021-06-06,26
2021-06-13,26
2021-06-20,24
2021-06-27,26
2021-07-04,26
2021-07-11,25
2021-07-18,27
2021-07-25,28
2021-08-01,27
2021-08-08,28
2021-08-15,30
2021-08-22,30
2021-08-29,30
2021-09-05,29
2021-09-12,30
2021-09-19,28
2021-09-26,27
2021-10-03,28
2021-10-10,27
2021-10-17,27
2021-10-24,25
2021-10-31,29
2021-11-07,28
2021-11-14,26
2021-11-21,26
2021-11-28,30
2021-12-05,31
2021-12-12,39
2021-12-19,55
2021-12-26,58
2022-01-02,53
2022-01-09,42
2022-01-16,33
2022-01-23,31
2022-01-30,29
2022-02-06,28
2022-02-13,27
2022-02-20,25
2022-02-27,28
2022-03-06,28
2022-03-13,26
2022-03-20,29
2022-03-27,33
2022-04-03,36
2022-04-10,32
2022-04-17,30
2022-04-24,30
2022-05-01,25
2022-05-08,27
2022-05-15,27
2022-05-22,28
2022-05-29,27
2022-06-05,28
2022-06-12,27
2022-06-19,26
2022-06-26,27
2022-07-03,29
2022-07-10,28
2022-07-17,30
2022-07-24,30
2022-07-31,29
2022-08-07,29
2022-08-14,26
2022-08-21,25
2022-08-28,25
2022-09-04,26
2022-09-11,26
2022-09-18,26
2022-09-25,25
2022-10-02,27
2022-10-09,29
2022-10-16,28
2022-10-23,27
2022-10-30,28
2022-11-06,28
2022-11-13,28
2022-11-20,27
2022-11-27,28
2022-12-04,27
2022-12-11,27
2022-12-18,25
2022-12-25,23
2023-01-01,28
2023-01-08,27
2023-01-15,25
2023-01-22,27
2023-01-29,25
2023-02-05,26
2023-02-12,25
2023-02-19,26
2023-02-26,26
