Category: All categories

Week,foodbank: (Ontario)
2018-01-07,20
2018-01-14,21
2018-01-21,18
2018-01-28,23
2018-02-04,11
2018-02-11,23
2018-02-18,21
2018-02-25,21
2018-03-04,33
2018-03-11,24
2018-03-18,0
2018-03-25,34
2018-04-01,10
2018-04-08,12
2018-04-15,0
2018-04-22,0
2018-04-29,31
2018-05-06,12
2018-05-13,21
2018-05-20,0
2018-05-27,0
2018-06-03,15
2018-06-10,9
2018-06-17,12
2018-06-24,0
2018-07-01,12
2018-07-08,0
2018-07-15,15
2018-07-22,21
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,20
2018-08-26,0
2018-09-02,18
2018-09-09,29
2018-09-16,17
2018-09-23,17
2018-09-30,0
2018-10-07,0
2018-10-14,34
2018-10-21,34
2018-10-28,13
2018-11-04,12
2018-11-11,25
2018-11-18,37
2018-11-25,26
2018-12-02,28
2018-12-09,32
2018-12-16,63
2018-12-23,0
2018-12-30,22
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,16
2019-02-03,0
2019-02-10,16
2019-02-17,20
2019-02-24,0
2019-03-03,20
2019-03-10,20
2019-03-17,44
2019-03-24,21
2019-03-31,0
2019-04-07,0
2019-04-14,17
2019-04-21,0
2019-04-28,0
2019-05-05,12
2019-05-12,11
2019-05-19,27
2019-05-26,14
2019-06-02,21
2019-06-09,16
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,44
2019-07-14,28
2019-07-21,12
2019-07-28,0
2019-08-04,12
2019-08-11,0
2019-08-18,31
2019-08-25,0
2019-09-01,25
2019-09-08,0
2019-09-15,17
2019-09-22,13
2019-09-29,19
2019-10-06,20
2019-10-13,11
2019-10-20,27
2019-10-27,17
2019-11-03,23
2019-11-10,30
2019-11-17,31
2019-11-24,18
2019-12-01,37
2019-12-08,21
2019-12-15,21
2019-12-22,0
2019-12-29,23
2020-01-05,8
2020-01-12,12
2020-01-19,17
2020-01-26,10
2020-02-02,27
2020-02-09,15
2020-02-16,20
2020-02-23,19
2020-03-01,15
2020-03-08,0
2020-03-15,40
2020-03-22,71
2020-03-29,70
2020-04-05,56
2020-04-12,37
2020-04-19,57
2020-04-26,100
2020-05-03,20
2020-05-10,17
2020-05-17,14
2020-05-24,19
2020-05-31,20
2020-06-07,8
2020-06-14,0
2020-06-21,0
2020-06-28,22
2020-07-05,15
2020-07-12,27
2020-07-19,0
2020-07-26,30
2020-08-02,16
2020-08-09,18
2020-08-16,13
2020-08-23,14
2020-08-30,29
2020-09-06,15
2020-09-13,35
2020-09-20,20
2020-09-27,24
2020-10-04,48
2020-10-11,31
2020-10-18,49
2020-10-25,28
2020-11-01,11
2020-11-08,20
2020-11-15,13
2020-11-22,41
2020-11-29,60
2020-12-06,45
2020-12-13,26
2020-12-20,46
2020-12-27,15
2021-01-03,16
2021-01-10,25
2021-01-17,18
2021-01-24,15
2021-01-31,14
2021-02-07,16
2021-02-14,30
2021-02-21,0
2021-02-28,18
2021-03-07,22
2021-03-14,10
2021-03-21,0
2021-03-28,0
2021-04-04,14
2021-04-11,17
2021-04-18,0
2021-04-25,16
2021-05-02,0
2021-05-09,45
2021-05-16,20
2021-05-23,13
2021-05-30,30
2021-06-06,0
2021-06-13,0
2021-06-20,21
2021-06-27,11
2021-07-04,13
2021-07-11,0
2021-07-18,35
2021-07-25,9
2021-08-01,13
2021-08-08,52
2021-08-15,16
2021-08-22,18
2021-08-29,13
2021-09-05,0
2021-09-12,0
2021-09-19,35
2021-09-26,38
2021-10-03,25
2021-10-10,0
2021-10-17,23
2021-10-24,14
2021-10-31,28
2021-11-07,33
2021-11-14,0
2021-11-21,18
2021-11-28,13
2021-12-05,20
2021-12-12,21
2021-12-19,33
2021-12-26,25
2022-01-02,29
2022-01-09,16
2022-01-16,19
2022-01-23,0
2022-01-30,0
2022-02-06,12
2022-02-13,59
2022-02-20,18
2022-02-27,48
2022-03-06,18
2022-03-13,30
2022-03-20,23
2022-03-27,24
2022-04-03,22
2022-04-10,23
2022-04-17,27
2022-04-24,39
2022-05-01,17
2022-05-08,16
2022-05-15,26
2022-05-22,0
2022-05-29,24
2022-06-05,14
2022-06-12,29
2022-06-19,26
2022-06-26,27
2022-07-03,0
2022-07-10,9
2022-07-17,48
2022-07-24,26
2022-07-31,45
2022-08-07,15
2022-08-14,52
2022-08-21,32
2022-08-28,24
2022-09-04,47
2022-09-11,24
2022-09-18,24
2022-09-25,31
2022-10-02,55
2022-10-09,25
2022-10-16,52
2022-10-23,46
2022-10-30,35
2022-11-06,77
2022-11-13,42
2022-11-20,31
2022-11-27,63
2022-12-04,47
2022-12-11,54
2022-12-18,80
2022-12-25,46
2023-01-01,51
2023-01-08,40
2023-01-15,34
2023-01-22,46
2023-01-29,50
2023-02-05,21
2023-02-12,48
2023-02-19,35
2023-02-26,34
