Category: All categories

Week,abuse: (Ontario)
2018-01-07,85
2018-01-14,99
2018-01-21,100
2018-01-28,89
2018-02-04,82
2018-02-11,76
2018-02-18,66
2018-02-25,70
2018-03-04,77
2018-03-11,70
2018-03-18,78
2018-03-25,78
2018-04-01,72
2018-04-08,80
2018-04-15,67
2018-04-22,72
2018-04-29,70
2018-05-06,68
2018-05-13,55
2018-05-20,79
2018-05-27,65
2018-06-03,74
2018-06-10,70
2018-06-17,77
2018-06-24,58
2018-07-01,49
2018-07-08,60
2018-07-15,59
2018-07-22,55
2018-07-29,57
2018-08-05,53
2018-08-12,63
2018-08-19,58
2018-08-26,67
2018-09-02,49
2018-09-09,59
2018-09-16,65
2018-09-23,70
2018-09-30,67
2018-10-07,72
2018-10-14,70
2018-10-21,63
2018-10-28,69
2018-11-04,77
2018-11-11,72
2018-11-18,78
2018-11-25,73
2018-12-02,73
2018-12-09,66
2018-12-16,58
2018-12-23,42
2018-12-30,43
2019-01-06,71
2019-01-13,74
2019-01-20,74
2019-01-27,63
2019-02-03,65
2019-02-10,55
2019-02-17,88
2019-02-24,65
2019-03-03,81
2019-03-10,74
2019-03-17,69
2019-03-24,78
2019-03-31,72
2019-04-07,75
2019-04-14,57
2019-04-21,62
2019-04-28,63
2019-05-05,59
2019-05-12,65
2019-05-19,66
2019-05-26,62
2019-06-02,68
2019-06-09,73
2019-06-16,54
2019-06-23,59
2019-06-30,46
2019-07-07,46
2019-07-14,53
2019-07-21,56
2019-07-28,39
2019-08-04,43
2019-08-11,47
2019-08-18,50
2019-08-25,56
2019-09-01,49
2019-09-08,51
2019-09-15,51
2019-09-22,57
2019-09-29,61
2019-10-06,64
2019-10-13,54
2019-10-20,66
2019-10-27,72
2019-11-03,66
2019-11-10,64
2019-11-17,69
2019-11-24,80
2019-12-01,74
2019-12-08,70
2019-12-15,65
2019-12-22,44
2019-12-29,56
2020-01-05,61
2020-01-12,74
2020-01-19,73
2020-01-26,62
2020-02-02,68
2020-02-09,66
2020-02-16,61
2020-02-23,68
2020-03-01,74
2020-03-08,63
2020-03-15,50
2020-03-22,53
2020-03-29,60
2020-04-05,62
2020-04-12,69
2020-04-19,61
2020-04-26,49
2020-05-03,50
2020-05-10,60
2020-05-17,55
2020-05-24,56
2020-05-31,56
2020-06-07,68
2020-06-14,68
2020-06-21,62
2020-06-28,58
2020-07-05,54
2020-07-12,65
2020-07-19,60
2020-07-26,56
2020-08-02,64
2020-08-09,57
2020-08-16,51
2020-08-23,53
2020-08-30,49
2020-09-06,49
2020-09-13,56
2020-09-20,60
2020-09-27,62
2020-10-04,64
2020-10-11,59
2020-10-18,68
2020-10-25,72
2020-11-01,60
2020-11-08,80
2020-11-15,62
2020-11-22,55
2020-11-29,66
2020-12-06,64
2020-12-13,70
2020-12-20,50
2020-12-27,46
2021-01-03,58
2021-01-10,62
2021-01-17,67
2021-01-24,58
2021-01-31,62
2021-02-07,55
2021-02-14,55
2021-02-21,60
2021-02-28,63
2021-03-07,54
2021-03-14,61
2021-03-21,62
2021-03-28,58
2021-04-04,57
2021-04-11,48
2021-04-18,50
2021-04-25,56
2021-05-02,54
2021-05-09,52
2021-05-16,50
2021-05-23,55
2021-05-30,66
2021-06-06,60
2021-06-13,52
2021-06-20,53
2021-06-27,49
2021-07-04,43
2021-07-11,66
2021-07-18,55
2021-07-25,42
2021-08-01,42
2021-08-08,50
2021-08-15,51
2021-08-22,44
2021-08-29,40
2021-09-05,47
2021-09-12,51
2021-09-19,47
2021-09-26,60
2021-10-03,61
2021-10-10,62
2021-10-17,60
2021-10-24,72
2021-10-31,71
2021-11-07,64
2021-11-14,63
2021-11-21,59
2021-11-28,58
2021-12-05,59
2021-12-12,63
2021-12-19,41
2021-12-26,38
2022-01-02,52
2022-01-09,59
2022-01-16,61
2022-01-23,59
2022-01-30,55
2022-02-06,59
2022-02-13,64
2022-02-20,62
2022-02-27,70
2022-03-06,78
2022-03-13,69
2022-03-20,75
2022-03-27,78
2022-04-03,73
2022-04-10,69
2022-04-17,72
2022-04-24,75
2022-05-01,74
2022-05-08,64
2022-05-15,71
2022-05-22,69
2022-05-29,75
2022-06-05,68
2022-06-12,75
2022-06-19,58
2022-06-26,55
2022-07-03,50
2022-07-10,51
2022-07-17,64
2022-07-24,51
2022-07-31,52
2022-08-07,51
2022-08-14,64
2022-08-21,54
2022-08-28,57
2022-09-04,52
2022-09-11,59
2022-09-18,55
2022-09-25,56
2022-10-02,63
2022-10-09,62
2022-10-16,63
2022-10-23,71
2022-10-30,68
2022-11-06,69
2022-11-13,66
2022-11-20,66
2022-11-27,73
2022-12-04,62
2022-12-11,63
2022-12-18,59
2022-12-25,46
2023-01-01,50
2023-01-08,72
2023-01-15,69
2023-01-22,65
2023-01-29,67
2023-02-05,62
2023-02-12,59
2023-02-19,71
2023-02-26,55
