Category: All categories

Week,covid: (Ontario)
2018-01-07,0
2018-01-14,0
2018-01-21,<1
2018-01-28,0
2018-02-04,0
2018-02-11,<1
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,<1
2018-03-25,0
2018-04-01,<1
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,<1
2018-06-10,<1
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,<1
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,<1
2018-10-28,<1
2018-11-04,0
2018-11-11,<1
2018-11-18,0
2018-11-25,0
2018-12-02,<1
2018-12-09,<1
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,<1
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,<1
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,<1
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,<1
2019-08-25,0
2019-09-01,<1
2019-09-08,0
2019-09-15,<1
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,<1
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,<1
2019-12-08,0
2019-12-15,<1
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,<1
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,2
2020-03-01,6
2020-03-08,30
2020-03-15,79
2020-03-22,81
2020-03-29,69
2020-04-05,60
2020-04-12,50
2020-04-19,43
2020-04-26,39
2020-05-03,36
2020-05-10,35
2020-05-17,33
2020-05-24,35
2020-05-31,29
2020-06-07,31
2020-06-14,30
2020-06-21,32
2020-06-28,34
2020-07-05,31
2020-07-12,31
2020-07-19,31
2020-07-26,33
2020-08-02,30
2020-08-09,29
2020-08-16,25
2020-08-23,24
2020-08-30,25
2020-09-06,28
2020-09-13,43
2020-09-20,46
2020-09-27,56
2020-10-04,49
2020-10-11,40
2020-10-18,34
2020-10-25,36
2020-11-01,29
2020-11-08,45
2020-11-15,47
2020-11-22,43
2020-11-29,41
2020-12-06,50
2020-12-13,51
2020-12-20,47
2020-12-27,43
2021-01-03,44
2021-01-10,53
2021-01-17,41
2021-01-24,40
2021-01-31,36
2021-02-07,36
2021-02-14,33
2021-02-21,36
2021-02-28,39
2021-03-07,43
2021-03-14,44
2021-03-21,47
2021-03-28,58
2021-04-04,71
2021-04-11,69
2021-04-18,65
2021-04-25,67
2021-05-02,61
2021-05-09,53
2021-05-16,50
2021-05-23,45
2021-05-30,49
2021-06-06,45
2021-06-13,46
2021-06-20,45
2021-06-27,38
2021-07-04,37
2021-07-11,35
2021-07-18,31
2021-07-25,32
2021-08-01,36
2021-08-08,37
2021-08-15,50
2021-08-22,41
2021-08-29,44
2021-09-05,36
2021-09-12,37
2021-09-19,39
2021-09-26,34
2021-10-03,30
2021-10-10,30
2021-10-17,32
2021-10-24,26
2021-10-31,25
2021-11-07,27
2021-11-14,26
2021-11-21,30
2021-11-28,35
2021-12-05,38
2021-12-12,77
2021-12-19,100
2021-12-26,82
2022-01-02,74
2022-01-09,48
2022-01-16,46
2022-01-23,27
2022-01-30,24
2022-02-06,21
2022-02-13,20
2022-02-20,16
2022-02-27,17
2022-03-06,16
2022-03-13,17
2022-03-20,16
2022-03-27,18
2022-04-03,21
2022-04-10,20
2022-04-17,16
2022-04-24,13
2022-05-01,12
2022-05-08,11
2022-05-15,9
2022-05-22,8
2022-05-29,7
2022-06-05,8
2022-06-12,8
2022-06-19,7
2022-06-26,8
2022-07-03,10
2022-07-10,12
2022-07-17,12
2022-07-24,10
2022-07-31,9
2022-08-07,8
2022-08-14,8
2022-08-21,7
2022-08-28,7
2022-09-04,6
2022-09-11,8
2022-09-18,8
2022-09-25,8
2022-10-02,8
2022-10-09,8
2022-10-16,8
2022-10-23,7
2022-10-30,7
2022-11-06,6
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,4
2022-12-11,5
2022-12-18,5
2022-12-25,5
2023-01-01,5
2023-01-08,4
2023-01-15,4
2023-01-22,4
2023-01-29,4
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,3
