Category: All categories

Week,pharmacy: (Ontario)
2018-01-07,22
2018-01-14,21
2018-01-21,21
2018-01-28,22
2018-02-04,21
2018-02-11,22
2018-02-18,21
2018-02-25,22
2018-03-04,21
2018-03-11,23
2018-03-18,22
2018-03-25,22
2018-04-01,20
2018-04-08,20
2018-04-15,20
2018-04-22,21
2018-04-29,21
2018-05-06,22
2018-05-13,21
2018-05-20,21
2018-05-27,21
2018-06-03,22
2018-06-10,23
2018-06-17,23
2018-06-24,23
2018-07-01,24
2018-07-08,23
2018-07-15,24
2018-07-22,22
2018-07-29,23
2018-08-05,22
2018-08-12,22
2018-08-19,24
2018-08-26,24
2018-09-02,22
2018-09-09,23
2018-09-16,23
2018-09-23,22
2018-09-30,21
2018-10-07,22
2018-10-14,22
2018-10-21,22
2018-10-28,24
2018-11-04,24
2018-11-11,22
2018-11-18,21
2018-11-25,22
2018-12-02,21
2018-12-09,23
2018-12-16,25
2018-12-23,23
2018-12-30,22
2019-01-06,23
2019-01-13,23
2019-01-20,22
2019-01-27,22
2019-02-03,21
2019-02-10,22
2019-02-17,23
2019-02-24,22
2019-03-03,22
2019-03-10,23
2019-03-17,22
2019-03-24,22
2019-03-31,22
2019-04-07,23
2019-04-14,22
2019-04-21,23
2019-04-28,23
2019-05-05,24
2019-05-12,24
2019-05-19,23
2019-05-26,22
2019-06-02,22
2019-06-09,22
2019-06-16,22
2019-06-23,26
2019-06-30,24
2019-07-07,25
2019-07-14,23
2019-07-21,25
2019-07-28,25
2019-08-04,23
2019-08-11,25
2019-08-18,25
2019-08-25,25
2019-09-01,24
2019-09-08,26
2019-09-15,25
2019-09-22,25
2019-09-29,23
2019-10-06,25
2019-10-13,25
2019-10-20,25
2019-10-27,25
2019-11-03,26
2019-11-10,23
2019-11-17,26
2019-11-24,25
2019-12-01,23
2019-12-08,26
2019-12-15,27
2019-12-22,29
2019-12-29,26
2020-01-05,27
2020-01-12,27
2020-01-19,26
2020-01-26,27
2020-02-02,26
2020-02-09,26
2020-02-16,25
2020-02-23,25
2020-03-01,27
2020-03-08,31
2020-03-15,39
2020-03-22,37
2020-03-29,34
2020-04-05,31
2020-04-12,31
2020-04-19,29
2020-04-26,30
2020-05-03,31
2020-05-10,30
2020-05-17,30
2020-05-24,32
2020-05-31,29
2020-06-07,30
2020-06-14,32
2020-06-21,31
2020-06-28,34
2020-07-05,33
2020-07-12,31
2020-07-19,29
2020-07-26,27
2020-08-02,29
2020-08-09,30
2020-08-16,29
2020-08-23,32
2020-08-30,31
2020-09-06,29
2020-09-13,28
2020-09-20,34
2020-09-27,35
2020-10-04,37
2020-10-11,41
2020-10-18,36
2020-10-25,36
2020-11-01,32
2020-11-08,32
2020-11-15,33
2020-11-22,30
2020-11-29,32
2020-12-06,31
2020-12-13,34
2020-12-20,32
2020-12-27,29
2021-01-03,32
2021-01-10,30
2021-01-17,30
2021-01-24,28
2021-01-31,27
2021-02-07,28
2021-02-14,28
2021-02-21,30
2021-02-28,31
2021-03-07,40
2021-03-14,37
2021-03-21,43
2021-03-28,46
2021-04-04,50
2021-04-11,40
2021-04-18,67
2021-04-25,46
2021-05-02,42
2021-05-09,42
2021-05-16,45
2021-05-23,45
2021-05-30,50
2021-06-06,70
2021-06-13,66
2021-06-20,59
2021-06-27,54
2021-07-04,49
2021-07-11,42
2021-07-18,37
2021-07-25,35
2021-08-01,36
2021-08-08,38
2021-08-15,39
2021-08-22,39
2021-08-29,39
2021-09-05,39
2021-09-12,38
2021-09-19,40
2021-09-26,38
2021-10-03,37
2021-10-10,41
2021-10-17,41
2021-10-24,37
2021-10-31,42
2021-11-07,41
2021-11-14,40
2021-11-21,40
2021-11-28,43
2021-12-05,50
2021-12-12,91
2021-12-19,100
2021-12-26,83
2022-01-02,62
2022-01-09,52
2022-01-16,40
2022-01-23,38
2022-01-30,37
2022-02-06,41
2022-02-13,34
2022-02-20,37
2022-02-27,33
2022-03-06,34
2022-03-13,33
2022-03-20,33
2022-03-27,33
2022-04-03,36
2022-04-10,38
2022-04-17,36
2022-04-24,33
2022-05-01,34
2022-05-08,33
2022-05-15,33
2022-05-22,33
2022-05-29,33
2022-06-05,35
2022-06-12,33
2022-06-19,33
2022-06-26,34
2022-07-03,38
2022-07-10,38
2022-07-17,38
2022-07-24,38
2022-07-31,35
2022-08-07,34
2022-08-14,38
2022-08-21,34
2022-08-28,35
2022-09-04,34
2022-09-11,33
2022-09-18,34
2022-09-25,37
2022-10-02,36
2022-10-09,37
2022-10-16,42
2022-10-23,42
2022-10-30,44
2022-11-06,45
2022-11-13,42
2022-11-20,37
2022-11-27,35
2022-12-04,35
2022-12-11,34
2022-12-18,35
2022-12-25,35
2023-01-01,36
2023-01-08,32
2023-01-15,33
2023-01-22,30
2023-01-29,30
2023-02-05,31
2023-02-12,31
2023-02-19,32
2023-02-26,31
