Category: All categories

Week,flu: (Ontario)
2018-01-07,32
2018-01-14,33
2018-01-21,33
2018-01-28,34
2018-02-04,35
2018-02-11,40
2018-02-18,28
2018-02-25,20
2018-03-04,18
2018-03-11,14
2018-03-18,12
2018-03-25,12
2018-04-01,11
2018-04-08,12
2018-04-15,9
2018-04-22,9
2018-04-29,8
2018-05-06,7
2018-05-13,6
2018-05-20,6
2018-05-27,5
2018-06-03,5
2018-06-10,6
2018-06-17,5
2018-06-24,5
2018-07-01,3
2018-07-08,5
2018-07-15,4
2018-07-22,4
2018-07-29,5
2018-08-05,5
2018-08-12,5
2018-08-19,4
2018-08-26,5
2018-09-02,6
2018-09-09,7
2018-09-16,10
2018-09-23,11
2018-09-30,13
2018-10-07,16
2018-10-14,22
2018-10-21,28
2018-10-28,27
2018-11-04,24
2018-11-11,24
2018-11-18,19
2018-11-25,17
2018-12-02,16
2018-12-09,16
2018-12-16,18
2018-12-23,22
2018-12-30,25
2019-01-06,29
2019-01-13,23
2019-01-20,22
2019-01-27,16
2019-02-03,17
2019-02-10,14
2019-02-17,14
2019-02-24,12
2019-03-03,14
2019-03-10,13
2019-03-17,13
2019-03-24,12
2019-03-31,11
2019-04-07,10
2019-04-14,9
2019-04-21,9
2019-04-28,8
2019-05-05,7
2019-05-12,7
2019-05-19,7
2019-05-26,5
2019-06-02,5
2019-06-09,5
2019-06-16,5
2019-06-23,5
2019-06-30,5
2019-07-07,4
2019-07-14,5
2019-07-21,4
2019-07-28,4
2019-08-04,5
2019-08-11,4
2019-08-18,5
2019-08-25,6
2019-09-01,6
2019-09-08,8
2019-09-15,10
2019-09-22,12
2019-09-29,13
2019-10-06,18
2019-10-13,20
2019-10-20,29
2019-10-27,30
2019-11-03,32
2019-11-10,27
2019-11-17,22
2019-11-24,19
2019-12-01,17
2019-12-08,17
2019-12-15,18
2019-12-22,26
2019-12-29,28
2020-01-05,26
2020-01-12,27
2020-01-19,35
2020-01-26,58
2020-02-02,33
2020-02-09,24
2020-02-16,19
2020-02-23,35
2020-03-01,49
2020-03-08,88
2020-03-15,100
2020-03-22,65
2020-03-29,61
2020-04-05,47
2020-04-12,35
2020-04-19,33
2020-04-26,27
2020-05-03,22
2020-05-10,22
2020-05-17,19
2020-05-24,15
2020-05-31,10
2020-06-07,11
2020-06-14,10
2020-06-21,14
2020-06-28,23
2020-07-05,14
2020-07-12,12
2020-07-19,13
2020-07-26,11
2020-08-02,12
2020-08-09,13
2020-08-16,12
2020-08-23,12
2020-08-30,13
2020-09-06,20
2020-09-13,21
2020-09-20,35
2020-09-27,30
2020-10-04,68
2020-10-11,90
2020-10-18,85
2020-10-25,70
2020-11-01,55
2020-11-08,44
2020-11-15,39
2020-11-22,27
2020-11-29,25
2020-12-06,27
2020-12-13,24
2020-12-20,20
2020-12-27,20
2021-01-03,17
2021-01-10,18
2021-01-17,13
2021-01-24,12
2021-01-31,12
2021-02-07,11
2021-02-14,10
2021-02-21,11
2021-02-28,10
2021-03-07,10
2021-03-14,10
2021-03-21,9
2021-03-28,12
2021-04-04,13
2021-04-11,14
2021-04-18,13
2021-04-25,13
2021-05-02,10
2021-05-09,9
2021-05-16,10
2021-05-23,8
2021-05-30,17
2021-06-06,6
2021-06-13,6
2021-06-20,6
2021-06-27,5
2021-07-04,6
2021-07-11,6
2021-07-18,6
2021-07-25,6
2021-08-01,7
2021-08-08,8
2021-08-15,7
2021-08-22,9
2021-08-29,11
2021-09-05,10
2021-09-12,10
2021-09-19,13
2021-09-26,15
2021-10-03,16
2021-10-10,29
2021-10-17,35
2021-10-24,32
2021-10-31,41
2021-11-07,33
2021-11-14,27
2021-11-21,21
2021-11-28,21
2021-12-05,18
2021-12-12,20
2021-12-19,24
2021-12-26,31
2022-01-02,30
2022-01-09,19
2022-01-16,12
2022-01-23,11
2022-01-30,9
2022-02-06,10
2022-02-13,7
2022-02-20,8
2022-02-27,8
2022-03-06,9
2022-03-13,9
2022-03-20,11
2022-03-27,13
2022-04-03,14
2022-04-10,13
2022-04-17,12
2022-04-24,12
2022-05-01,11
2022-05-08,10
2022-05-15,8
2022-05-22,8
2022-05-29,7
2022-06-05,7
2022-06-12,6
2022-06-19,7
2022-06-26,7
2022-07-03,10
2022-07-10,6
2022-07-17,7
2022-07-24,6
2022-07-31,6
2022-08-07,5
2022-08-14,6
2022-08-21,9
2022-08-28,7
2022-09-04,8
2022-09-11,11
2022-09-18,13
2022-09-25,13
2022-10-02,19
2022-10-09,25
2022-10-16,38
2022-10-23,40
2022-10-30,55
2022-11-06,54
2022-11-13,56
2022-11-20,41
2022-11-27,34
2022-12-04,36
2022-12-11,33
2022-12-18,25
2022-12-25,19
2023-01-01,17
2023-01-08,14
2023-01-15,12
2023-01-22,12
2023-01-29,11
2023-02-05,12
2023-02-12,11
2023-02-19,12
2023-02-26,11
