Category: All categories

Week,mindfulness: (Ontario)
2018-01-07,72
2018-01-14,83
2018-01-21,69
2018-01-28,83
2018-02-04,84
2018-02-11,81
2018-02-18,93
2018-02-25,85
2018-03-04,86
2018-03-11,68
2018-03-18,74
2018-03-25,65
2018-04-01,84
2018-04-08,84
2018-04-15,65
2018-04-22,80
2018-04-29,86
2018-05-06,72
2018-05-13,48
2018-05-20,54
2018-05-27,61
2018-06-03,73
2018-06-10,45
2018-06-17,52
2018-06-24,47
2018-07-01,51
2018-07-08,56
2018-07-15,51
2018-07-22,75
2018-07-29,65
2018-08-05,54
2018-08-12,57
2018-08-19,55
2018-08-26,53
2018-09-02,60
2018-09-09,86
2018-09-16,83
2018-09-23,75
2018-09-30,97
2018-10-07,92
2018-10-14,93
2018-10-21,76
2018-10-28,64
2018-11-04,82
2018-11-11,73
2018-11-18,88
2018-11-25,83
2018-12-02,73
2018-12-09,65
2018-12-16,70
2018-12-23,36
2018-12-30,43
2019-01-06,85
2019-01-13,68
2019-01-20,62
2019-01-27,75
2019-02-03,97
2019-02-10,64
2019-02-17,60
2019-02-24,67
2019-03-03,60
2019-03-10,61
2019-03-17,100
2019-03-24,77
2019-03-31,86
2019-04-07,75
2019-04-14,58
2019-04-21,69
2019-04-28,72
2019-05-05,70
2019-05-12,71
2019-05-19,71
2019-05-26,55
2019-06-02,53
2019-06-09,76
2019-06-16,61
2019-06-23,54
2019-06-30,45
2019-07-07,57
2019-07-14,60
2019-07-21,54
2019-07-28,46
2019-08-04,38
2019-08-11,63
2019-08-18,54
2019-08-25,57
2019-09-01,75
2019-09-08,90
2019-09-15,77
2019-09-22,90
2019-09-29,81
2019-10-06,65
2019-10-13,99
2019-10-20,83
2019-10-27,73
2019-11-03,77
2019-11-10,80
2019-11-17,84
2019-11-24,87
2019-12-01,85
2019-12-08,62
2019-12-15,64
2019-12-22,39
2019-12-29,42
2020-01-05,68
2020-01-12,84
2020-01-19,46
2020-01-26,80
2020-02-02,59
2020-02-09,79
2020-02-16,67
2020-02-23,83
2020-03-01,71
2020-03-08,70
2020-03-15,57
2020-03-22,62
2020-03-29,60
2020-04-05,49
2020-04-12,77
2020-04-19,75
2020-04-26,70
2020-05-03,68
2020-05-10,60
2020-05-17,67
2020-05-24,54
2020-05-31,77
2020-06-07,52
2020-06-14,61
2020-06-21,48
2020-06-28,48
2020-07-05,43
2020-07-12,64
2020-07-19,49
2020-07-26,61
2020-08-02,50
2020-08-09,48
2020-08-16,40
2020-08-23,55
2020-08-30,39
2020-09-06,50
2020-09-13,78
2020-09-20,65
2020-09-27,71
2020-10-04,62
2020-10-11,66
2020-10-18,64
2020-10-25,60
2020-11-01,48
2020-11-08,57
2020-11-15,62
2020-11-22,50
2020-11-29,47
2020-12-06,49
2020-12-13,46
2020-12-20,38
2020-12-27,48
2021-01-03,58
2021-01-10,60
2021-01-17,52
2021-01-24,66
2021-01-31,63
2021-02-07,61
2021-02-14,53
2021-02-21,54
2021-02-28,70
2021-03-07,35
2021-03-14,43
2021-03-21,52
2021-03-28,44
2021-04-04,44
2021-04-11,48
2021-04-18,40
2021-04-25,40
2021-05-02,74
2021-05-09,50
2021-05-16,46
2021-05-23,35
2021-05-30,51
2021-06-06,35
2021-06-13,34
2021-06-20,31
2021-06-27,31
2021-07-04,38
2021-07-11,52
2021-07-18,32
2021-07-25,35
2021-08-01,38
2021-08-08,38
2021-08-15,46
2021-08-22,18
2021-08-29,37
2021-09-05,51
2021-09-12,51
2021-09-19,46
2021-09-26,40
2021-10-03,42
2021-10-10,62
2021-10-17,57
2021-10-24,52
2021-10-31,38
2021-11-07,59
2021-11-14,45
2021-11-21,46
2021-11-28,61
2021-12-05,43
2021-12-12,55
2021-12-19,32
2021-12-26,34
2022-01-02,56
2022-01-09,67
2022-01-16,53
2022-01-23,80
2022-01-30,63
2022-02-06,60
2022-02-13,51
2022-02-20,56
2022-02-27,70
2022-03-06,52
2022-03-13,61
2022-03-20,61
2022-03-27,72
2022-04-03,68
2022-04-10,52
2022-04-17,66
2022-04-24,63
2022-05-01,64
2022-05-08,55
2022-05-15,52
2022-05-22,49
2022-05-29,58
2022-06-05,52
2022-06-12,59
2022-06-19,47
2022-06-26,36
2022-07-03,34
2022-07-10,40
2022-07-17,35
2022-07-24,61
2022-07-31,44
2022-08-07,54
2022-08-14,47
2022-08-21,35
2022-08-28,44
2022-09-04,60
2022-09-11,56
2022-09-18,58
2022-09-25,75
2022-10-02,60
2022-10-09,48
2022-10-16,54
2022-10-23,51
2022-10-30,57
2022-11-06,64
2022-11-13,59
2022-11-20,45
2022-11-27,72
2022-12-04,71
2022-12-11,57
2022-12-18,43
2022-12-25,37
2023-01-01,50
2023-01-08,58
2023-01-15,70
2023-01-22,53
2023-01-29,60
2023-02-05,54
2023-02-12,61
2023-02-19,56
2023-02-26,66
