Category: All categories

Week,eviction: (Ontario)
2018-01-07,35
2018-01-14,19
2018-01-21,14
2018-01-28,32
2018-02-04,22
2018-02-11,9
2018-02-18,30
2018-02-25,19
2018-03-04,36
2018-03-11,23
2018-03-18,41
2018-03-25,25
2018-04-01,33
2018-04-08,33
2018-04-15,24
2018-04-22,26
2018-04-29,20
2018-05-06,24
2018-05-13,18
2018-05-20,39
2018-05-27,28
2018-06-03,13
2018-06-10,18
2018-06-17,15
2018-06-24,25
2018-07-01,21
2018-07-08,31
2018-07-15,35
2018-07-22,28
2018-07-29,41
2018-08-05,25
2018-08-12,29
2018-08-19,41
2018-08-26,27
2018-09-02,38
2018-09-09,39
2018-09-16,35
2018-09-23,23
2018-09-30,41
2018-10-07,47
2018-10-14,35
2018-10-21,28
2018-10-28,27
2018-11-04,35
2018-11-11,43
2018-11-18,31
2018-11-25,37
2018-12-02,55
2018-12-09,34
2018-12-16,27
2018-12-23,41
2018-12-30,38
2019-01-06,25
2019-01-13,24
2019-01-20,23
2019-01-27,22
2019-02-03,36
2019-02-10,23
2019-02-17,11
2019-02-24,30
2019-03-03,23
2019-03-10,23
2019-03-17,24
2019-03-24,43
2019-03-31,30
2019-04-07,21
2019-04-14,25
2019-04-21,21
2019-04-28,23
2019-05-05,15
2019-05-12,15
2019-05-19,23
2019-05-26,37
2019-06-02,25
2019-06-09,25
2019-06-16,19
2019-06-23,31
2019-06-30,38
2019-07-07,26
2019-07-14,40
2019-07-21,40
2019-07-28,50
2019-08-04,31
2019-08-11,38
2019-08-18,45
2019-08-25,35
2019-09-01,46
2019-09-08,31
2019-09-15,29
2019-09-22,29
2019-09-29,27
2019-10-06,17
2019-10-13,29
2019-10-20,46
2019-10-27,35
2019-11-03,42
2019-11-10,27
2019-11-17,38
2019-11-24,22
2019-12-01,39
2019-12-08,28
2019-12-15,40
2019-12-22,38
2019-12-29,54
2020-01-05,34
2020-01-12,57
2020-01-19,43
2020-01-26,50
2020-02-02,80
2020-02-09,100
2020-02-16,25
2020-02-23,27
2020-03-01,30
2020-03-08,21
2020-03-15,98
2020-03-22,59
2020-03-29,31
2020-04-05,40
2020-04-12,27
2020-04-19,33
2020-04-26,30
2020-05-03,26
2020-05-10,23
2020-05-17,23
2020-05-24,24
2020-05-31,46
2020-06-07,43
2020-06-14,31
2020-06-21,25
2020-06-28,31
2020-07-05,57
2020-07-12,52
2020-07-19,25
2020-07-26,49
2020-08-02,57
2020-08-09,44
2020-08-16,48
2020-08-23,36
2020-08-30,40
2020-09-06,50
2020-09-13,36
2020-09-20,37
2020-09-27,54
2020-10-04,46
2020-10-11,42
2020-10-18,49
2020-10-25,44
2020-11-01,54
2020-11-08,24
2020-11-15,46
2020-11-22,51
2020-11-29,60
2020-12-06,46
2020-12-13,39
2020-12-20,43
2020-12-27,56
2021-01-03,54
2021-01-10,70
2021-01-17,47
2021-01-24,35
2021-01-31,50
2021-02-07,44
2021-02-14,58
2021-02-21,40
2021-02-28,37
2021-03-07,34
2021-03-14,28
2021-03-21,25
2021-03-28,35
2021-04-04,62
2021-04-11,41
2021-04-18,52
2021-04-25,38
2021-05-02,36
2021-05-09,30
2021-05-16,41
2021-05-23,30
2021-05-30,38
2021-06-06,31
2021-06-13,17
2021-06-20,31
2021-06-27,30
2021-07-04,26
2021-07-11,32
2021-07-18,36
2021-07-25,44
2021-08-01,85
2021-08-08,49
2021-08-15,31
2021-08-22,22
2021-08-29,35
2021-09-05,35
2021-09-12,48
2021-09-19,19
2021-09-26,34
2021-10-03,32
2021-10-10,27
2021-10-17,44
2021-10-24,32
2021-10-31,45
2021-11-07,20
2021-11-14,22
2021-11-21,27
2021-11-28,28
2021-12-05,34
2021-12-12,30
2021-12-19,31
2021-12-26,25
2022-01-02,39
2022-01-09,76
2022-01-16,30
2022-01-23,45
2022-01-30,35
2022-02-06,33
2022-02-13,20
2022-02-20,34
2022-02-27,36
2022-03-06,29
2022-03-13,39
2022-03-20,28
2022-03-27,30
2022-04-03,35
2022-04-10,21
2022-04-17,24
2022-04-24,15
2022-05-01,36
2022-05-08,28
2022-05-15,19
2022-05-22,21
2022-05-29,36
2022-06-05,29
2022-06-12,20
2022-06-19,15
2022-06-26,29
2022-07-03,21
2022-07-10,29
2022-07-17,30
2022-07-24,30
2022-07-31,27
2022-08-07,21
2022-08-14,32
2022-08-21,39
2022-08-28,41
2022-09-04,32
2022-09-11,23
2022-09-18,22
2022-09-25,29
2022-10-02,20
2022-10-09,26
2022-10-16,32
2022-10-23,30
2022-10-30,39
2022-11-06,17
2022-11-13,31
2022-11-20,35
2022-11-27,34
2022-12-04,25
2022-12-11,28
2022-12-18,34
2022-12-25,16
2023-01-01,42
2023-01-08,29
2023-01-15,32
2023-01-22,42
2023-01-29,43
2023-02-05,36
2023-02-12,23
2023-02-19,24
2023-02-26,34
