Category: All categories

Week,ei: (Ontario)
2018-01-07,10
2018-01-14,9
2018-01-21,8
2018-01-28,8
2018-02-04,8
2018-02-11,8
2018-02-18,8
2018-02-25,9
2018-03-04,9
2018-03-11,8
2018-03-18,8
2018-03-25,7
2018-04-01,8
2018-04-08,7
2018-04-15,7
2018-04-22,7
2018-04-29,6
2018-05-06,7
2018-05-13,7
2018-05-20,6
2018-05-27,6
2018-06-03,6
2018-06-10,6
2018-06-17,6
2018-06-24,7
2018-07-01,9
2018-07-08,9
2018-07-15,9
2018-07-22,8
2018-07-29,8
2018-08-05,8
2018-08-12,8
2018-08-19,8
2018-08-26,8
2018-09-02,8
2018-09-09,7
2018-09-16,6
2018-09-23,6
2018-09-30,6
2018-10-07,6
2018-10-14,6
2018-10-21,6
2018-10-28,7
2018-11-04,7
2018-11-11,7
2018-11-18,7
2018-11-25,7
2018-12-02,7
2018-12-09,7
2018-12-16,9
2018-12-23,6
2018-12-30,10
2019-01-06,11
2019-01-13,8
2019-01-20,8
2019-01-27,8
2019-02-03,8
2019-02-10,8
2019-02-17,8
2019-02-24,8
2019-03-03,8
2019-03-10,8
2019-03-17,8
2019-03-24,8
2019-03-31,7
2019-04-07,7
2019-04-14,6
2019-04-21,7
2019-04-28,7
2019-05-05,6
2019-05-12,7
2019-05-19,6
2019-05-26,6
2019-06-02,6
2019-06-09,7
2019-06-16,7
2019-06-23,8
2019-06-30,8
2019-07-07,8
2019-07-14,9
2019-07-21,9
2019-07-28,8
2019-08-04,8
2019-08-11,8
2019-08-18,8
2019-08-25,8
2019-09-01,8
2019-09-08,7
2019-09-15,7
2019-09-22,6
2019-09-29,7
2019-10-06,7
2019-10-13,6
2019-10-20,6
2019-10-27,6
2019-11-03,6
2019-11-10,7
2019-11-17,7
2019-11-24,6
2019-12-01,7
2019-12-08,7
2019-12-15,9
2019-12-22,6
2019-12-29,10
2020-01-05,11
2020-01-12,10
2020-01-19,9
2020-01-26,8
2020-02-02,9
2020-02-09,8
2020-02-16,8
2020-02-23,9
2020-03-01,7
2020-03-08,13
2020-03-15,80
2020-03-22,100
2020-03-29,68
2020-04-05,76
2020-04-12,47
2020-04-19,32
2020-04-26,26
2020-05-03,24
2020-05-10,22
2020-05-17,20
2020-05-24,18
2020-05-31,16
2020-06-07,19
2020-06-14,21
2020-06-21,19
2020-06-28,18
2020-07-05,18
2020-07-12,15
2020-07-19,14
2020-07-26,13
2020-08-02,16
2020-08-09,16
2020-08-16,18
2020-08-23,18
2020-08-30,16
2020-09-06,15
2020-09-13,15
2020-09-20,17
2020-09-27,24
2020-10-04,21
2020-10-11,26
2020-10-18,21
2020-10-25,18
2020-11-01,15
2020-11-08,15
2020-11-15,16
2020-11-22,16
2020-11-29,15
2020-12-06,15
2020-12-13,20
2020-12-20,17
2020-12-27,21
2021-01-03,21
2021-01-10,22
2021-01-17,19
2021-01-24,20
2021-01-31,19
2021-02-07,18
2021-02-14,18
2021-02-21,18
2021-02-28,15
2021-03-07,15
2021-03-14,15
2021-03-21,15
2021-03-28,15
2021-04-04,18
2021-04-11,16
2021-04-18,17
2021-04-25,17
2021-05-02,16
2021-05-09,15
2021-05-16,15
2021-05-23,17
2021-05-30,15
2021-06-06,15
2021-06-13,14
2021-06-20,15
2021-06-27,16
2021-07-04,17
2021-07-11,16
2021-07-18,16
2021-07-25,15
2021-08-01,16
2021-08-08,14
2021-08-15,16
2021-08-22,14
2021-08-29,21
2021-09-05,18
2021-09-12,14
2021-09-19,16
2021-09-26,17
2021-10-03,15
2021-10-10,13
2021-10-17,12
2021-10-24,11
2021-10-31,11
2021-11-07,10
2021-11-14,10
2021-11-21,10
2021-11-28,11
2021-12-05,11
2021-12-12,12
2021-12-19,14
2021-12-26,12
2022-01-02,19
2022-01-09,15
2022-01-16,13
2022-01-23,12
2022-01-30,12
2022-02-06,12
2022-02-13,10
2022-02-20,10
2022-02-27,12
2022-03-06,12
2022-03-13,10
2022-03-20,10
2022-03-27,9
2022-04-03,8
2022-04-10,9
2022-04-17,9
2022-04-24,9
2022-05-01,9
2022-05-08,8
2022-05-15,9
2022-05-22,8
2022-05-29,8
2022-06-05,9
2022-06-12,8
2022-06-19,8
2022-06-26,10
2022-07-03,11
2022-07-10,11
2022-07-17,11
2022-07-24,11
2022-07-31,10
2022-08-07,9
2022-08-14,9
2022-08-21,9
2022-08-28,10
2022-09-04,8
2022-09-11,8
2022-09-18,8
2022-09-25,7
2022-10-02,7
2022-10-09,7
2022-10-16,7
2022-10-23,7
2022-10-30,8
2022-11-06,8
2022-11-13,8
2022-11-20,7
2022-11-27,8
2022-12-04,8
2022-12-11,9
2022-12-18,10
2022-12-25,8
2023-01-01,12
2023-01-08,12
2023-01-15,10
2023-01-22,9
2023-01-29,10
2023-02-05,10
2023-02-12,10
2023-02-19,10
2023-02-26,9
