Category: All categories

Week,counselling: (Ontario)
2018-01-07,99
2018-01-14,95
2018-01-21,84
2018-01-28,92
2018-02-04,97
2018-02-11,90
2018-02-18,100
2018-02-25,99
2018-03-04,100
2018-03-11,86
2018-03-18,96
2018-03-25,94
2018-04-01,85
2018-04-08,96
2018-04-15,86
2018-04-22,77
2018-04-29,92
2018-05-06,89
2018-05-13,73
2018-05-20,92
2018-05-27,99
2018-06-03,84
2018-06-10,74
2018-06-17,69
2018-06-24,70
2018-07-01,55
2018-07-08,79
2018-07-15,76
2018-07-22,74
2018-07-29,65
2018-08-05,72
2018-08-12,73
2018-08-19,71
2018-08-26,73
2018-09-02,71
2018-09-09,99
2018-09-16,79
2018-09-23,75
2018-09-30,75
2018-10-07,74
2018-10-14,74
2018-10-21,76
2018-10-28,81
2018-11-04,88
2018-11-11,87
2018-11-18,83
2018-11-25,90
2018-12-02,81
2018-12-09,70
2018-12-16,61
2018-12-23,35
2018-12-30,60
2019-01-06,87
2019-01-13,81
2019-01-20,73
2019-01-27,88
2019-02-03,80
2019-02-10,78
2019-02-17,69
2019-02-24,74
2019-03-03,85
2019-03-10,91
2019-03-17,79
2019-03-24,86
2019-03-31,72
2019-04-07,85
2019-04-14,71
2019-04-21,79
2019-04-28,74
2019-05-05,73
2019-05-12,64
2019-05-19,75
2019-05-26,75
2019-06-02,73
2019-06-09,72
2019-06-16,81
2019-06-23,68
2019-06-30,69
2019-07-07,66
2019-07-14,70
2019-07-21,78
2019-07-28,68
2019-08-04,61
2019-08-11,73
2019-08-18,78
2019-08-25,70
2019-09-01,79
2019-09-08,83
2019-09-15,87
2019-09-22,85
2019-09-29,98
2019-10-06,81
2019-10-13,77
2019-10-20,83
2019-10-27,79
2019-11-03,84
2019-11-10,94
2019-11-17,83
2019-11-24,74
2019-12-01,81
2019-12-08,77
2019-12-15,70
2019-12-22,33
2019-12-29,48
2020-01-05,98
2020-01-12,85
2020-01-19,79
2020-01-26,89
2020-02-02,91
2020-02-09,85
2020-02-16,78
2020-02-23,86
2020-03-01,86
2020-03-08,79
2020-03-15,58
2020-03-22,49
2020-03-29,45
2020-04-05,40
2020-04-12,45
2020-04-19,49
2020-04-26,46
2020-05-03,58
2020-05-10,55
2020-05-17,51
2020-05-24,49
2020-05-31,53
2020-06-07,50
2020-06-14,60
2020-06-21,64
2020-06-28,57
2020-07-05,66
2020-07-12,68
2020-07-19,69
2020-07-26,67
2020-08-02,69
2020-08-09,64
2020-08-16,72
2020-08-23,56
2020-08-30,60
2020-09-06,75
2020-09-13,82
2020-09-20,75
2020-09-27,69
2020-10-04,70
2020-10-11,77
2020-10-18,90
2020-10-25,66
2020-11-01,72
2020-11-08,71
2020-11-15,67
2020-11-22,59
2020-11-29,71
2020-12-06,70
2020-12-13,63
2020-12-20,38
2020-12-27,43
2021-01-03,61
2021-01-10,65
2021-01-17,66
2021-01-24,62
2021-01-31,64
2021-02-07,68
2021-02-14,59
2021-02-21,69
2021-02-28,69
2021-03-07,67
2021-03-14,66
2021-03-21,68
2021-03-28,71
2021-04-04,57
2021-04-11,64
2021-04-18,63
2021-04-25,51
2021-05-02,60
2021-05-09,67
2021-05-16,61
2021-05-23,51
2021-05-30,60
2021-06-06,54
2021-06-13,63
2021-06-20,63
2021-06-27,62
2021-07-04,69
2021-07-11,64
2021-07-18,64
2021-07-25,62
2021-08-01,57
2021-08-08,67
2021-08-15,64
2021-08-22,55
2021-08-29,62
2021-09-05,75
2021-09-12,73
2021-09-19,77
2021-09-26,72
2021-10-03,72
2021-10-10,72
2021-10-17,85
2021-10-24,72
2021-10-31,82
2021-11-07,77
2021-11-14,72
2021-11-21,68
2021-11-28,71
2021-12-05,74
2021-12-12,71
2021-12-19,37
2021-12-26,39
2022-01-02,69
2022-01-09,80
2022-01-16,67
2022-01-23,77
2022-01-30,68
2022-02-06,97
2022-02-13,85
2022-02-20,83
2022-02-27,85
2022-03-06,86
2022-03-13,81
2022-03-20,82
2022-03-27,79
2022-04-03,79
2022-04-10,82
2022-04-17,74
2022-04-24,80
2022-05-01,75
2022-05-08,69
2022-05-15,71
2022-05-22,62
2022-05-29,78
2022-06-05,59
2022-06-12,71
2022-06-19,69
2022-06-26,58
2022-07-03,72
2022-07-10,68
2022-07-17,75
2022-07-24,66
2022-07-31,68
2022-08-07,63
2022-08-14,65
2022-08-21,62
2022-08-28,63
2022-09-04,77
2022-09-11,85
2022-09-18,95
2022-09-25,90
2022-10-02,79
2022-10-09,80
2022-10-16,85
2022-10-23,76
2022-10-30,91
2022-11-06,77
2022-11-13,73
2022-11-20,83
2022-11-27,80
2022-12-04,77
2022-12-11,65
2022-12-18,51
2022-12-25,40
2023-01-01,74
2023-01-08,94
2023-01-15,89
2023-01-22,83
2023-01-29,92
2023-02-05,89
2023-02-12,79
2023-02-19,75
2023-02-26,86
