Category: All categories

Week,alcohol: (Ontario)
2018-01-07,49
2018-01-14,57
2018-01-21,53
2018-01-28,52
2018-02-04,52
2018-02-11,49
2018-02-18,56
2018-02-25,53
2018-03-04,53
2018-03-11,61
2018-03-18,59
2018-03-25,60
2018-04-01,55
2018-04-08,52
2018-04-15,55
2018-04-22,51
2018-04-29,50
2018-05-06,53
2018-05-13,50
2018-05-20,55
2018-05-27,52
2018-06-03,53
2018-06-10,59
2018-06-17,52
2018-06-24,53
2018-07-01,52
2018-07-08,57
2018-07-15,54
2018-07-22,52
2018-07-29,54
2018-08-05,62
2018-08-12,54
2018-08-19,57
2018-08-26,52
2018-09-02,50
2018-09-09,48
2018-09-16,57
2018-09-23,53
2018-09-30,57
2018-10-07,60
2018-10-14,59
2018-10-21,56
2018-10-28,53
2018-11-04,57
2018-11-11,54
2018-11-18,51
2018-11-25,60
2018-12-02,59
2018-12-09,62
2018-12-16,72
2018-12-23,75
2018-12-30,76
2019-01-06,60
2019-01-13,61
2019-01-20,55
2019-01-27,49
2019-02-03,56
2019-02-10,56
2019-02-17,58
2019-02-24,55
2019-03-03,57
2019-03-10,54
2019-03-17,57
2019-03-24,59
2019-03-31,57
2019-04-07,56
2019-04-14,57
2019-04-21,53
2019-04-28,55
2019-05-05,50
2019-05-12,59
2019-05-19,62
2019-05-26,55
2019-06-02,58
2019-06-09,57
2019-06-16,58
2019-06-23,53
2019-06-30,62
2019-07-07,58
2019-07-14,61
2019-07-21,63
2019-07-28,60
2019-08-04,60
2019-08-11,58
2019-08-18,61
2019-08-25,53
2019-09-01,51
2019-09-08,54
2019-09-15,57
2019-09-22,58
2019-09-29,50
2019-10-06,51
2019-10-13,55
2019-10-20,52
2019-10-27,54
2019-11-03,55
2019-11-10,54
2019-11-17,56
2019-11-24,50
2019-12-01,51
2019-12-08,56
2019-12-15,61
2019-12-22,77
2019-12-29,78
2020-01-05,56
2020-01-12,57
2020-01-19,58
2020-01-26,69
2020-02-02,60
2020-02-09,58
2020-02-16,55
2020-02-23,61
2020-03-01,77
2020-03-08,100
2020-03-15,96
2020-03-22,96
2020-03-29,88
2020-04-05,78
2020-04-12,77
2020-04-19,69
2020-04-26,63
2020-05-03,63
2020-05-10,65
2020-05-17,67
2020-05-24,61
2020-05-31,57
2020-06-07,58
2020-06-14,60
2020-06-21,62
2020-06-28,67
2020-07-05,61
2020-07-12,61
2020-07-19,74
2020-07-26,69
2020-08-02,63
2020-08-09,60
2020-08-16,59
2020-08-23,57
2020-08-30,56
2020-09-06,56
2020-09-13,52
2020-09-20,52
2020-09-27,51
2020-10-04,56
2020-10-11,58
2020-10-18,57
2020-10-25,52
2020-11-01,50
2020-11-08,55
2020-11-15,53
2020-11-22,52
2020-11-29,57
2020-12-06,59
2020-12-13,60
2020-12-20,65
2020-12-27,71
2021-01-03,55
2021-01-10,54
2021-01-17,48
2021-01-24,57
2021-01-31,53
2021-02-07,47
2021-02-14,56
2021-02-21,52
2021-02-28,52
2021-03-07,46
2021-03-14,51
2021-03-21,49
2021-03-28,55
2021-04-04,53
2021-04-11,54
2021-04-18,51
2021-04-25,53
2021-05-02,53
2021-05-09,54
2021-05-16,55
2021-05-23,55
2021-05-30,57
2021-06-06,59
2021-06-13,63
2021-06-20,53
2021-06-27,63
2021-07-04,55
2021-07-11,60
2021-07-18,58
2021-07-25,53
2021-08-01,52
2021-08-08,61
2021-08-15,59
2021-08-22,61
2021-08-29,55
2021-09-05,52
2021-09-12,49
2021-09-19,49
2021-09-26,58
2021-10-03,53
2021-10-10,58
2021-10-17,51
2021-10-24,58
2021-10-31,58
2021-11-07,49
2021-11-14,51
2021-11-21,56
2021-11-28,55
2021-12-05,58
2021-12-12,54
2021-12-19,62
2021-12-26,72
2022-01-02,65
2022-01-09,63
2022-01-16,55
2022-01-23,58
2022-01-30,58
2022-02-06,58
2022-02-13,58
2022-02-20,65
2022-02-27,61
2022-03-06,60
2022-03-13,59
2022-03-20,62
2022-03-27,64
2022-04-03,61
2022-04-10,62
2022-04-17,61
2022-04-24,55
2022-05-01,58
2022-05-08,58
2022-05-15,59
2022-05-22,59
2022-05-29,58
2022-06-05,61
2022-06-12,60
2022-06-19,62
2022-06-26,70
2022-07-03,57
2022-07-10,61
2022-07-17,63
2022-07-24,63
2022-07-31,72
2022-08-07,60
2022-08-14,63
2022-08-21,58
2022-08-28,75
2022-09-04,62
2022-09-11,55
2022-09-18,57
2022-09-25,55
2022-10-02,56
2022-10-09,57
2022-10-16,55
2022-10-23,59
2022-10-30,58
2022-11-06,56
2022-11-13,59
2022-11-20,57
2022-11-27,58
2022-12-04,56
2022-12-11,61
2022-12-18,64
2022-12-25,78
2023-01-01,75
2023-01-08,61
2023-01-15,88
2023-01-22,71
2023-01-29,67
2023-02-05,61
2023-02-12,62
2023-02-19,70
2023-02-26,64
