Category: All categories

Week,sick: (Ontario)
2018-01-07,83
2018-01-14,86
2018-01-21,83
2018-01-28,83
2018-02-04,76
2018-02-11,69
2018-02-18,67
2018-02-25,71
2018-03-04,66
2018-03-11,64
2018-03-18,62
2018-03-25,58
2018-04-01,59
2018-04-08,59
2018-04-15,56
2018-04-22,58
2018-04-29,55
2018-05-06,54
2018-05-13,55
2018-05-20,52
2018-05-27,56
2018-06-03,58
2018-06-10,54
2018-06-17,53
2018-06-24,51
2018-07-01,49
2018-07-08,55
2018-07-15,55
2018-07-22,55
2018-07-29,50
2018-08-05,55
2018-08-12,60
2018-08-19,58
2018-08-26,53
2018-09-02,54
2018-09-09,61
2018-09-16,59
2018-09-23,68
2018-09-30,64
2018-10-07,62
2018-10-14,63
2018-10-21,69
2018-10-28,65
2018-11-04,66
2018-11-11,64
2018-11-18,64
2018-11-25,80
2018-12-02,71
2018-12-09,70
2018-12-16,67
2018-12-23,64
2018-12-30,69
2019-01-06,69
2019-01-13,71
2019-01-20,66
2019-01-27,62
2019-02-03,57
2019-02-10,62
2019-02-17,59
2019-02-24,55
2019-03-03,62
2019-03-10,59
2019-03-17,58
2019-03-24,59
2019-03-31,59
2019-04-07,61
2019-04-14,54
2019-04-21,54
2019-04-28,55
2019-05-05,50
2019-05-12,53
2019-05-19,51
2019-05-26,55
2019-06-02,55
2019-06-09,54
2019-06-16,53
2019-06-23,49
2019-06-30,48
2019-07-07,53
2019-07-14,49
2019-07-21,49
2019-07-28,49
2019-08-04,46
2019-08-11,49
2019-08-18,49
2019-08-25,49
2019-09-01,49
2019-09-08,54
2019-09-15,63
2019-09-22,62
2019-09-29,62
2019-10-06,63
2019-10-13,56
2019-10-20,59
2019-10-27,59
2019-11-03,55
2019-11-10,57
2019-11-17,59
2019-11-24,57
2019-12-01,60
2019-12-08,60
2019-12-15,66
2019-12-22,64
2019-12-29,66
2020-01-05,69
2020-01-12,77
2020-01-19,68
2020-01-26,73
2020-02-02,70
2020-02-09,68
2020-02-16,53
2020-02-23,68
2020-03-01,70
2020-03-08,82
2020-03-15,100
2020-03-22,72
2020-03-29,57
2020-04-05,47
2020-04-12,48
2020-04-19,45
2020-04-26,52
2020-05-03,42
2020-05-10,41
2020-05-17,39
2020-05-24,54
2020-05-31,42
2020-06-07,42
2020-06-14,52
2020-06-21,46
2020-06-28,44
2020-07-05,44
2020-07-12,45
2020-07-19,47
2020-07-26,50
2020-08-02,43
2020-08-09,51
2020-08-16,45
2020-08-23,42
2020-08-30,42
2020-09-06,40
2020-09-13,49
2020-09-20,51
2020-09-27,56
2020-10-04,56
2020-10-11,53
2020-10-18,50
2020-10-25,50
2020-11-01,43
2020-11-08,50
2020-11-15,56
2020-11-22,44
2020-11-29,53
2020-12-06,50
2020-12-13,50
2020-12-20,40
2020-12-27,44
2021-01-03,46
2021-01-10,50
2021-01-17,50
2021-01-24,52
2021-01-31,51
2021-02-07,49
2021-02-14,53
2021-02-21,49
2021-02-28,45
2021-03-07,46
2021-03-14,47
2021-03-21,53
2021-03-28,50
2021-04-04,57
2021-04-11,58
2021-04-18,68
2021-04-25,99
2021-05-02,76
2021-05-09,64
2021-05-16,59
2021-05-23,57
2021-05-30,57
2021-06-06,52
2021-06-13,52
2021-06-20,56
2021-06-27,53
2021-07-04,61
2021-07-11,61
2021-07-18,53
2021-07-25,59
2021-08-01,57
2021-08-08,57
2021-08-15,58
2021-08-22,53
2021-08-29,55
2021-09-05,49
2021-09-12,54
2021-09-19,62
2021-09-26,63
2021-10-03,57
2021-10-10,58
2021-10-17,61
2021-10-24,60
2021-10-31,64
2021-11-07,62
2021-11-14,60
2021-11-21,61
2021-11-28,63
2021-12-05,67
2021-12-12,64
2021-12-19,71
2021-12-26,76
2022-01-02,98
2022-01-09,95
2022-01-16,65
2022-01-23,59
2022-01-30,57
2022-02-06,56
2022-02-13,51
2022-02-20,48
2022-02-27,55
2022-03-06,52
2022-03-13,61
2022-03-20,62
2022-03-27,69
2022-04-03,71
2022-04-10,73
2022-04-17,66
2022-04-24,67
2022-05-01,64
2022-05-08,63
2022-05-15,65
2022-05-22,54
2022-05-29,54
2022-06-05,58
2022-06-12,56
2022-06-19,57
2022-06-26,57
2022-07-03,61
2022-07-10,55
2022-07-17,61
2022-07-24,59
2022-07-31,56
2022-08-07,60
2022-08-14,55
2022-08-21,54
2022-08-28,55
2022-09-04,56
2022-09-11,74
2022-09-18,66
2022-09-25,66
2022-10-02,67
2022-10-09,69
2022-10-16,70
2022-10-23,78
2022-10-30,83
2022-11-06,81
2022-11-13,83
2022-11-20,79
2022-11-27,83
2022-12-04,82
2022-12-11,77
2022-12-18,73
2022-12-25,59
2023-01-01,69
2023-01-08,68
2023-01-15,65
2023-01-22,69
2023-01-29,66
2023-02-05,67
2023-02-12,58
2023-02-19,68
2023-02-26,70
