Category: All categories

Week,loneliness: (Ontario)
2018-01-07,48
2018-01-14,100
2018-01-21,70
2018-01-28,43
2018-02-04,47
2018-02-11,45
2018-02-18,58
2018-02-25,56
2018-03-04,30
2018-03-11,43
2018-03-18,37
2018-03-25,48
2018-04-01,75
2018-04-08,42
2018-04-15,58
2018-04-22,34
2018-04-29,71
2018-05-06,38
2018-05-13,40
2018-05-20,66
2018-05-27,26
2018-06-03,43
2018-06-10,9
2018-06-17,72
2018-06-24,60
2018-07-01,33
2018-07-08,30
2018-07-15,53
2018-07-22,41
2018-07-29,62
2018-08-05,55
2018-08-12,61
2018-08-19,50
2018-08-26,40
2018-09-02,37
2018-09-09,35
2018-09-16,16
2018-09-23,80
2018-09-30,0
2018-10-07,49
2018-10-14,62
2018-10-21,61
2018-10-28,45
2018-11-04,65
2018-11-11,35
2018-11-18,62
2018-11-25,50
2018-12-02,49
2018-12-09,46
2018-12-16,65
2018-12-23,30
2018-12-30,51
2019-01-06,60
2019-01-13,70
2019-01-20,23
2019-01-27,43
2019-02-03,37
2019-02-10,44
2019-02-17,26
2019-02-24,49
2019-03-03,47
2019-03-10,58
2019-03-17,50
2019-03-24,40
2019-03-31,32
2019-04-07,71
2019-04-14,22
2019-04-21,36
2019-04-28,44
2019-05-05,44
2019-05-12,29
2019-05-19,29
2019-05-26,49
2019-06-02,46
2019-06-09,47
2019-06-16,50
2019-06-23,45
2019-06-30,28
2019-07-07,30
2019-07-14,28
2019-07-21,17
2019-07-28,44
2019-08-04,60
2019-08-11,27
2019-08-18,43
2019-08-25,36
2019-09-01,36
2019-09-08,42
2019-09-15,38
2019-09-22,57
2019-09-29,55
2019-10-06,24
2019-10-13,63
2019-10-20,48
2019-10-27,40
2019-11-03,43
2019-11-10,34
2019-11-17,39
2019-11-24,40
2019-12-01,51
2019-12-08,58
2019-12-15,46
2019-12-22,36
2019-12-29,35
2020-01-05,34
2020-01-12,53
2020-01-19,49
2020-01-26,12
2020-02-02,56
2020-02-09,32
2020-02-16,42
2020-02-23,55
2020-03-01,51
2020-03-08,43
2020-03-15,55
2020-03-22,44
2020-03-29,51
2020-04-05,68
2020-04-12,67
2020-04-19,56
2020-04-26,47
2020-05-03,65
2020-05-10,51
2020-05-17,36
2020-05-24,38
2020-05-31,34
2020-06-07,52
2020-06-14,41
2020-06-21,37
2020-06-28,28
2020-07-05,49
2020-07-12,47
2020-07-19,34
2020-07-26,40
2020-08-02,53
2020-08-09,25
2020-08-16,29
2020-08-23,24
2020-08-30,20
2020-09-06,30
2020-09-13,28
2020-09-20,45
2020-09-27,41
2020-10-04,40
2020-10-11,49
2020-10-18,48
2020-10-25,47
2020-11-01,42
2020-11-08,50
2020-11-15,34
2020-11-22,25
2020-11-29,36
2020-12-06,12
2020-12-13,50
2020-12-20,29
2020-12-27,43
2021-01-03,37
2021-01-10,40
2021-01-17,40
2021-01-24,20
2021-01-31,44
2021-02-07,45
2021-02-14,18
2021-02-21,58
2021-02-28,40
2021-03-07,30
2021-03-14,41
2021-03-21,32
2021-03-28,19
2021-04-04,49
2021-04-11,31
2021-04-18,31
2021-04-25,27
2021-05-02,21
2021-05-09,24
2021-05-16,46
2021-05-23,25
2021-05-30,37
2021-06-06,36
2021-06-13,28
2021-06-20,19
2021-06-27,15
2021-07-04,21
2021-07-11,15
2021-07-18,48
2021-07-25,37
2021-08-01,39
2021-08-08,44
2021-08-15,40
2021-08-22,36
2021-08-29,0
2021-09-05,47
2021-09-12,23
2021-09-19,43
2021-09-26,48
2021-10-03,11
2021-10-10,26
2021-10-17,32
2021-10-24,23
2021-10-31,26
2021-11-07,47
2021-11-14,44
2021-11-21,32
2021-11-28,30
2021-12-05,39
2021-12-12,23
2021-12-19,27
2021-12-26,17
2022-01-02,30
2022-01-09,33
2022-01-16,65
2022-01-23,27
2022-01-30,42
2022-02-06,38
2022-02-13,28
2022-02-20,42
2022-02-27,33
2022-03-06,48
2022-03-13,35
2022-03-20,38
2022-03-27,33
2022-04-03,33
2022-04-10,54
2022-04-17,34
2022-04-24,58
2022-05-01,42
2022-05-08,30
2022-05-15,42
2022-05-22,18
2022-05-29,41
2022-06-05,46
2022-06-12,35
2022-06-19,39
2022-06-26,32
2022-07-03,20
2022-07-10,42
2022-07-17,43
2022-07-24,50
2022-07-31,33
2022-08-07,23
2022-08-14,23
2022-08-21,26
2022-08-28,39
2022-09-04,34
2022-09-11,37
2022-09-18,38
2022-09-25,41
2022-10-02,59
2022-10-09,39
2022-10-16,50
2022-10-23,53
2022-10-30,69
2022-11-06,32
2022-11-13,52
2022-11-20,44
2022-11-27,56
2022-12-04,21
2022-12-11,55
2022-12-18,35
2022-12-25,30
2023-01-01,33
2023-01-08,60
2023-01-15,30
2023-01-22,36
2023-01-29,47
2023-02-05,25
2023-02-12,56
2023-02-19,40
2023-02-26,41
