Category: All categories

Week,mortgage: (Ontario)
2018-01-07,41
2018-01-14,48
2018-01-21,40
2018-01-28,37
2018-02-04,34
2018-02-11,33
2018-02-18,34
2018-02-25,36
2018-03-04,40
2018-03-11,43
2018-03-18,41
2018-03-25,34
2018-04-01,41
2018-04-08,39
2018-04-15,38
2018-04-22,40
2018-04-29,45
2018-05-06,42
2018-05-13,42
2018-05-20,36
2018-05-27,37
2018-06-03,36
2018-06-10,35
2018-06-17,35
2018-06-24,33
2018-07-01,30
2018-07-08,44
2018-07-15,37
2018-07-22,37
2018-07-29,36
2018-08-05,35
2018-08-12,36
2018-08-19,36
2018-08-26,35
2018-09-02,32
2018-09-09,33
2018-09-16,33
2018-09-23,34
2018-09-30,31
2018-10-07,32
2018-10-14,35
2018-10-21,42
2018-10-28,36
2018-11-04,33
2018-11-11,33
2018-11-18,27
2018-11-25,30
2018-12-02,30
2018-12-09,25
2018-12-16,25
2018-12-23,20
2018-12-30,29
2019-01-06,35
2019-01-13,40
2019-01-20,34
2019-01-27,34
2019-02-03,37
2019-02-10,33
2019-02-17,37
2019-02-24,36
2019-03-03,40
2019-03-10,41
2019-03-17,46
2019-03-24,46
2019-03-31,40
2019-04-07,40
2019-04-14,37
2019-04-21,40
2019-04-28,41
2019-05-05,41
2019-05-12,39
2019-05-19,38
2019-05-26,37
2019-06-02,39
2019-06-09,36
2019-06-16,41
2019-06-23,39
2019-06-30,35
2019-07-07,40
2019-07-14,42
2019-07-21,40
2019-07-28,41
2019-08-04,37
2019-08-11,43
2019-08-18,43
2019-08-25,43
2019-09-01,40
2019-09-08,40
2019-09-15,40
2019-09-22,39
2019-09-29,37
2019-10-06,35
2019-10-13,36
2019-10-20,36
2019-10-27,38
2019-11-03,36
2019-11-10,31
2019-11-17,36
2019-11-24,28
2019-12-01,29
2019-12-08,30
2019-12-15,28
2019-12-22,22
2019-12-29,33
2020-01-05,38
2020-01-12,39
2020-01-19,38
2020-01-26,41
2020-02-02,46
2020-02-09,42
2020-02-16,47
2020-02-23,46
2020-03-01,71
2020-03-08,68
2020-03-15,100
2020-03-22,76
2020-03-29,62
2020-04-05,40
2020-04-12,42
2020-04-19,41
2020-04-26,42
2020-05-03,45
2020-05-10,42
2020-05-17,43
2020-05-24,45
2020-05-31,49
2020-06-07,54
2020-06-14,50
2020-06-21,49
2020-06-28,51
2020-07-05,54
2020-07-12,51
2020-07-19,50
2020-07-26,49
2020-08-02,49
2020-08-09,58
2020-08-16,56
2020-08-23,52
2020-08-30,49
2020-09-06,47
2020-09-13,47
2020-09-20,46
2020-09-27,49
2020-10-04,45
2020-10-11,47
2020-10-18,50
2020-10-25,45
2020-11-01,39
2020-11-08,42
2020-11-15,40
2020-11-22,39
2020-11-29,48
2020-12-06,49
2020-12-13,41
2020-12-20,31
2020-12-27,34
2021-01-03,45
2021-01-10,48
2021-01-17,51
2021-01-24,50
2021-01-31,51
2021-02-07,49
2021-02-14,49
2021-02-21,54
2021-02-28,61
2021-03-07,60
2021-03-14,56
2021-03-21,53
2021-03-28,48
2021-04-04,51
2021-04-11,50
2021-04-18,44
2021-04-25,48
2021-05-02,43
2021-05-09,43
2021-05-16,42
2021-05-23,45
2021-05-30,48
2021-06-06,40
2021-06-13,37
2021-06-20,33
2021-06-27,35
2021-07-04,41
2021-07-11,40
2021-07-18,37
2021-07-25,37
2021-08-01,33
2021-08-08,35
2021-08-15,36
2021-08-22,34
2021-08-29,33
2021-09-05,31
2021-09-12,36
2021-09-19,34
2021-09-26,36
2021-10-03,35
2021-10-10,37
2021-10-17,34
2021-10-24,40
2021-10-31,38
2021-11-07,36
2021-11-14,35
2021-11-21,33
2021-11-28,32
2021-12-05,31
2021-12-12,28
2021-12-19,24
2021-12-26,27
2022-01-02,43
2022-01-09,47
2022-01-16,50
2022-01-23,49
2022-01-30,47
2022-02-06,47
2022-02-13,45
2022-02-20,45
2022-02-27,58
2022-03-06,49
2022-03-13,45
2022-03-20,48
2022-03-27,48
2022-04-03,47
2022-04-10,58
2022-04-17,51
2022-04-24,51
2022-05-01,48
2022-05-08,42
2022-05-15,39
2022-05-22,36
2022-05-29,52
2022-06-05,54
2022-06-12,58
2022-06-19,50
2022-06-26,39
2022-07-03,43
2022-07-10,73
2022-07-17,51
2022-07-24,51
2022-07-31,46
2022-08-07,42
2022-08-14,42
2022-08-21,40
2022-08-28,40
2022-09-04,53
2022-09-11,43
2022-09-18,42
2022-09-25,39
2022-10-02,38
2022-10-09,41
2022-10-16,44
2022-10-23,53
2022-10-30,43
2022-11-06,39
2022-11-13,35
2022-11-20,34
2022-11-27,34
2022-12-04,46
2022-12-11,37
2022-12-18,29
2022-12-25,28
2023-01-01,39
2023-01-08,43
2023-01-15,44
2023-01-22,53
2023-01-29,48
2023-02-05,42
2023-02-12,38
2023-02-19,42
2023-02-26,44
