Category: All categories

Week,cough: (Ontario)
2018-01-07,43
2018-01-14,41
2018-01-21,45
2018-01-28,47
2018-02-04,48
2018-02-11,43
2018-02-18,42
2018-02-25,39
2018-03-04,36
2018-03-11,36
2018-03-18,32
2018-03-25,31
2018-04-01,30
2018-04-08,30
2018-04-15,27
2018-04-22,28
2018-04-29,28
2018-05-06,28
2018-05-13,25
2018-05-20,22
2018-05-27,23
2018-06-03,24
2018-06-10,23
2018-06-17,20
2018-06-24,24
2018-07-01,23
2018-07-08,25
2018-07-15,21
2018-07-22,20
2018-07-29,20
2018-08-05,21
2018-08-12,21
2018-08-19,22
2018-08-26,21
2018-09-02,23
2018-09-09,25
2018-09-16,34
2018-09-23,37
2018-09-30,39
2018-10-07,38
2018-10-14,36
2018-10-21,35
2018-10-28,35
2018-11-04,35
2018-11-11,36
2018-11-18,42
2018-11-25,38
2018-12-02,45
2018-12-09,44
2018-12-16,49
2018-12-23,54
2018-12-30,56
2019-01-06,45
2019-01-13,36
2019-01-20,38
2019-01-27,37
2019-02-03,38
2019-02-10,34
2019-02-17,34
2019-02-24,32
2019-03-03,35
2019-03-10,38
2019-03-17,37
2019-03-24,36
2019-03-31,36
2019-04-07,35
2019-04-14,36
2019-04-21,32
2019-04-28,32
2019-05-05,31
2019-05-12,32
2019-05-19,29
2019-05-26,27
2019-06-02,29
2019-06-09,28
2019-06-16,27
2019-06-23,27
2019-06-30,27
2019-07-07,25
2019-07-14,23
2019-07-21,22
2019-07-28,25
2019-08-04,20
2019-08-11,23
2019-08-18,22
2019-08-25,24
2019-09-01,24
2019-09-08,29
2019-09-15,36
2019-09-22,37
2019-09-29,34
2019-10-06,40
2019-10-13,38
2019-10-20,39
2019-10-27,37
2019-11-03,39
2019-11-10,38
2019-11-17,41
2019-11-24,39
2019-12-01,40
2019-12-08,42
2019-12-15,50
2019-12-22,62
2019-12-29,67
2020-01-05,52
2020-01-12,45
2020-01-19,48
2020-01-26,51
2020-02-02,43
2020-02-09,37
2020-02-16,39
2020-02-23,39
2020-03-01,41
2020-03-08,67
2020-03-15,98
2020-03-22,76
2020-03-29,54
2020-04-05,44
2020-04-12,33
2020-04-19,28
2020-04-26,26
2020-05-03,22
2020-05-10,21
2020-05-17,21
2020-05-24,19
2020-05-31,18
2020-06-07,17
2020-06-14,18
2020-06-21,18
2020-06-28,17
2020-07-05,19
2020-07-12,17
2020-07-19,18
2020-07-26,18
2020-08-02,18
2020-08-09,19
2020-08-16,20
2020-08-23,19
2020-08-30,20
2020-09-06,20
2020-09-13,21
2020-09-20,25
2020-09-27,31
2020-10-04,30
2020-10-11,32
2020-10-18,29
2020-10-25,26
2020-11-01,21
2020-11-08,25
2020-11-15,24
2020-11-22,25
2020-11-29,24
2020-12-06,27
2020-12-13,23
2020-12-20,25
2020-12-27,24
2021-01-03,22
2021-01-10,23
2021-01-17,23
2021-01-24,19
2021-01-31,20
2021-02-07,19
2021-02-14,17
2021-02-21,18
2021-02-28,18
2021-03-07,18
2021-03-14,23
2021-03-21,20
2021-03-28,22
2021-04-04,27
2021-04-11,23
2021-04-18,24
2021-04-25,26
2021-05-02,23
2021-05-09,21
2021-05-16,20
2021-05-23,20
2021-05-30,19
2021-06-06,20
2021-06-13,19
2021-06-20,17
2021-06-27,17
2021-07-04,21
2021-07-11,21
2021-07-18,26
2021-07-25,23
2021-08-01,28
2021-08-08,32
2021-08-15,36
2021-08-22,39
2021-08-29,32
2021-09-05,34
2021-09-12,39
2021-09-19,45
2021-09-26,47
2021-10-03,48
2021-10-10,50
2021-10-17,46
2021-10-24,42
2021-10-31,48
2021-11-07,44
2021-11-14,43
2021-11-21,44
2021-11-28,44
2021-12-05,46
2021-12-12,46
2021-12-19,57
2021-12-26,68
2022-01-02,70
2022-01-09,59
2022-01-16,48
2022-01-23,38
2022-01-30,34
2022-02-06,27
2022-02-13,26
2022-02-20,29
2022-02-27,26
2022-03-06,27
2022-03-13,30
2022-03-20,38
2022-03-27,39
2022-04-03,49
2022-04-10,54
2022-04-17,53
2022-04-24,51
2022-05-01,48
2022-05-08,49
2022-05-15,51
2022-05-22,52
2022-05-29,46
2022-06-05,53
2022-06-12,51
2022-06-19,53
2022-06-26,57
2022-07-03,59
2022-07-10,55
2022-07-17,54
2022-07-24,46
2022-07-31,50
2022-08-07,43
2022-08-14,45
2022-08-21,43
2022-08-28,41
2022-09-04,40
2022-09-11,49
2022-09-18,59
2022-09-25,65
2022-10-02,72
2022-10-09,77
2022-10-16,78
2022-10-23,86
2022-10-30,99
2022-11-06,100
2022-11-13,95
2022-11-20,87
2022-11-27,86
2022-12-04,78
2022-12-11,75
2022-12-18,73
2022-12-25,65
2023-01-01,61
2023-01-08,51
2023-01-15,46
2023-01-22,43
2023-01-29,42
2023-02-05,43
2023-02-12,42
2023-02-19,46
2023-02-26,42
