Category: All categories

Week,mortgage loan: (Ontario)
2018-01-07,56
2018-01-14,70
2018-01-21,43
2018-01-28,44
2018-02-04,76
2018-02-11,40
2018-02-18,61
2018-02-25,54
2018-03-04,38
2018-03-11,77
2018-03-18,53
2018-03-25,44
2018-04-01,57
2018-04-08,29
2018-04-15,33
2018-04-22,47
2018-04-29,60
2018-05-06,52
2018-05-13,34
2018-05-20,27
2018-05-27,55
2018-06-03,58
2018-06-10,47
2018-06-17,43
2018-06-24,49
2018-07-01,37
2018-07-08,53
2018-07-15,71
2018-07-22,80
2018-07-29,51
2018-08-05,54
2018-08-12,68
2018-08-19,94
2018-08-26,81
2018-09-02,36
2018-09-09,53
2018-09-16,41
2018-09-23,72
2018-09-30,30
2018-10-07,52
2018-10-14,37
2018-10-21,44
2018-10-28,55
2018-11-04,27
2018-11-11,42
2018-11-18,45
2018-11-25,55
2018-12-02,54
2018-12-09,39
2018-12-16,25
2018-12-23,14
2018-12-30,17
2019-01-06,60
2019-01-13,54
2019-01-20,58
2019-01-27,65
2019-02-03,64
2019-02-10,40
2019-02-17,41
2019-02-24,43
2019-03-03,48
2019-03-10,62
2019-03-17,78
2019-03-24,59
2019-03-31,39
2019-04-07,51
2019-04-14,42
2019-04-21,53
2019-04-28,73
2019-05-05,76
2019-05-12,46
2019-05-19,63
2019-05-26,47
2019-06-02,22
2019-06-09,43
2019-06-16,31
2019-06-23,60
2019-06-30,41
2019-07-07,100
2019-07-14,75
2019-07-21,35
2019-07-28,38
2019-08-04,35
2019-08-11,44
2019-08-18,38
2019-08-25,73
2019-09-01,51
2019-09-08,50
2019-09-15,58
2019-09-22,66
2019-09-29,38
2019-10-06,41
2019-10-13,27
2019-10-20,54
2019-10-27,52
2019-11-03,44
2019-11-10,49
2019-11-17,68
2019-11-24,43
2019-12-01,46
2019-12-08,61
2019-12-15,67
2019-12-22,64
2019-12-29,54
2020-01-05,50
2020-01-12,55
2020-01-19,46
2020-01-26,77
2020-02-02,71
2020-02-09,50
2020-02-16,67
2020-02-23,56
2020-03-01,58
2020-03-08,73
2020-03-15,92
2020-03-22,81
2020-03-29,66
2020-04-05,29
2020-04-12,26
2020-04-19,57
2020-04-26,61
2020-05-03,59
2020-05-10,55
2020-05-17,66
2020-05-24,87
2020-05-31,53
2020-06-07,77
2020-06-14,76
2020-06-21,77
2020-06-28,78
2020-07-05,56
2020-07-12,93
2020-07-19,54
2020-07-26,86
2020-08-02,77
2020-08-09,74
2020-08-16,60
2020-08-23,64
2020-08-30,96
2020-09-06,67
2020-09-13,82
2020-09-20,58
2020-09-27,65
2020-10-04,42
2020-10-11,77
2020-10-18,71
2020-10-25,43
2020-11-01,52
2020-11-08,78
2020-11-15,55
2020-11-22,50
2020-11-29,84
2020-12-06,51
2020-12-13,82
2020-12-20,46
2020-12-27,68
2021-01-03,70
2021-01-10,69
2021-01-17,56
2021-01-24,82
2021-01-31,63
2021-02-07,50
2021-02-14,35
2021-02-21,41
2021-02-28,66
2021-03-07,76
2021-03-14,56
2021-03-21,41
2021-03-28,51
2021-04-04,53
2021-04-11,49
2021-04-18,45
2021-04-25,57
2021-05-02,47
2021-05-09,46
2021-05-16,67
2021-05-23,53
2021-05-30,69
2021-06-06,32
2021-06-13,57
2021-06-20,43
2021-06-27,52
2021-07-04,31
2021-07-11,50
2021-07-18,47
2021-07-25,65
2021-08-01,76
2021-08-08,46
2021-08-15,55
2021-08-22,27
2021-08-29,48
2021-09-05,41
2021-09-12,40
2021-09-19,30
2021-09-26,49
2021-10-03,44
2021-10-10,59
2021-10-17,39
2021-10-24,31
2021-10-31,59
2021-11-07,46
2021-11-14,47
2021-11-21,29
2021-11-28,34
2021-12-05,47
2021-12-12,53
2021-12-19,37
2021-12-26,33
2022-01-02,61
2022-01-09,87
2022-01-16,63
2022-01-23,62
2022-01-30,69
2022-02-06,68
2022-02-13,80
2022-02-20,84
2022-02-27,89
2022-03-06,60
2022-03-13,93
2022-03-20,68
2022-03-27,81
2022-04-03,75
2022-04-10,68
2022-04-17,65
2022-04-24,80
2022-05-01,55
2022-05-08,68
2022-05-15,62
2022-05-22,31
2022-05-29,51
2022-06-05,71
2022-06-12,53
2022-06-19,74
2022-06-26,38
2022-07-03,47
2022-07-10,93
2022-07-17,56
2022-07-24,54
2022-07-31,69
2022-08-07,79
2022-08-14,36
2022-08-21,78
2022-08-28,50
2022-09-04,60
2022-09-11,65
2022-09-18,52
2022-09-25,54
2022-10-02,53
2022-10-09,67
2022-10-16,50
2022-10-23,59
2022-10-30,61
2022-11-06,50
2022-11-13,41
2022-11-20,19
2022-11-27,58
2022-12-04,30
2022-12-11,36
2022-12-18,34
2022-12-25,42
2023-01-01,47
2023-01-08,75
2023-01-15,88
2023-01-22,98
2023-01-29,74
2023-02-05,55
2023-02-12,70
2023-02-19,85
2023-02-26,51
