Category: All categories

Week,cbt: (Ontario)
2018-01-07,46
2018-01-14,51
2018-01-21,66
2018-01-28,58
2018-02-04,55
2018-02-11,53
2018-02-18,59
2018-02-25,61
2018-03-04,62
2018-03-11,47
2018-03-18,59
2018-03-25,63
2018-04-01,45
2018-04-08,64
2018-04-15,57
2018-04-22,40
2018-04-29,41
2018-05-06,47
2018-05-13,32
2018-05-20,52
2018-05-27,54
2018-06-03,50
2018-06-10,44
2018-06-17,43
2018-06-24,58
2018-07-01,35
2018-07-08,45
2018-07-15,49
2018-07-22,47
2018-07-29,40
2018-08-05,45
2018-08-12,51
2018-08-19,30
2018-08-26,59
2018-09-02,47
2018-09-09,45
2018-09-16,63
2018-09-23,60
2018-09-30,55
2018-10-07,51
2018-10-14,49
2018-10-21,61
2018-10-28,64
2018-11-04,77
2018-11-11,65
2018-11-18,65
2018-11-25,59
2018-12-02,58
2018-12-09,57
2018-12-16,38
2018-12-23,25
2018-12-30,47
2019-01-06,52
2019-01-13,72
2019-01-20,78
2019-01-27,73
2019-02-03,61
2019-02-10,52
2019-02-17,45
2019-02-24,56
2019-03-03,63
2019-03-10,73
2019-03-17,57
2019-03-24,64
2019-03-31,50
2019-04-07,57
2019-04-14,48
2019-04-21,44
2019-04-28,61
2019-05-05,54
2019-05-12,66
2019-05-19,63
2019-05-26,60
2019-06-02,55
2019-06-09,68
2019-06-16,64
2019-06-23,47
2019-06-30,37
2019-07-07,57
2019-07-14,60
2019-07-21,56
2019-07-28,66
2019-08-04,45
2019-08-11,43
2019-08-18,58
2019-08-25,55
2019-09-01,31
2019-09-08,58
2019-09-15,82
2019-09-22,65
2019-09-29,57
2019-10-06,63
2019-10-13,63
2019-10-20,56
2019-10-27,62
2019-11-03,63
2019-11-10,49
2019-11-17,69
2019-11-24,57
2019-12-01,58
2019-12-08,53
2019-12-15,51
2019-12-22,32
2019-12-29,43
2020-01-05,60
2020-01-12,53
2020-01-19,66
2020-01-26,65
2020-02-02,85
2020-02-09,79
2020-02-16,68
2020-02-23,57
2020-03-01,60
2020-03-08,76
2020-03-15,46
2020-03-22,32
2020-03-29,46
2020-04-05,46
2020-04-12,48
2020-04-19,34
2020-04-26,40
2020-05-03,54
2020-05-10,49
2020-05-17,58
2020-05-24,47
2020-05-31,60
2020-06-07,47
2020-06-14,47
2020-06-21,48
2020-06-28,40
2020-07-05,59
2020-07-12,56
2020-07-19,48
2020-07-26,55
2020-08-02,48
2020-08-09,60
2020-08-16,43
2020-08-23,59
2020-08-30,46
2020-09-06,55
2020-09-13,61
2020-09-20,57
2020-09-27,48
2020-10-04,61
2020-10-11,47
2020-10-18,69
2020-10-25,57
2020-11-01,63
2020-11-08,53
2020-11-15,61
2020-11-22,57
2020-11-29,65
2020-12-06,77
2020-12-13,59
2020-12-20,26
2020-12-27,41
2021-01-03,46
2021-01-10,55
2021-01-17,56
2021-01-24,62
2021-01-31,65
2021-02-07,59
2021-02-14,39
2021-02-21,56
2021-02-28,52
2021-03-07,51
2021-03-14,66
2021-03-21,55
2021-03-28,56
2021-04-04,53
2021-04-11,68
2021-04-18,61
2021-04-25,63
2021-05-02,51
2021-05-09,56
2021-05-16,46
2021-05-23,61
2021-05-30,44
2021-06-06,47
2021-06-13,49
2021-06-20,53
2021-06-27,57
2021-07-04,59
2021-07-11,52
2021-07-18,43
2021-07-25,48
2021-08-01,47
2021-08-08,66
2021-08-15,52
2021-08-22,40
2021-08-29,23
2021-09-05,54
2021-09-12,45
2021-09-19,58
2021-09-26,82
2021-10-03,63
2021-10-10,60
2021-10-17,65
2021-10-24,49
2021-10-31,63
2021-11-07,73
2021-11-14,90
2021-11-21,66
2021-11-28,61
2021-12-05,56
2021-12-12,64
2021-12-19,39
2021-12-26,22
2022-01-02,69
2022-01-09,61
2022-01-16,59
2022-01-23,69
2022-01-30,84
2022-02-06,66
2022-02-13,64
2022-02-20,57
2022-02-27,81
2022-03-06,71
2022-03-13,77
2022-03-20,90
2022-03-27,100
2022-04-03,93
2022-04-10,87
2022-04-17,50
2022-04-24,56
2022-05-01,58
2022-05-08,42
2022-05-15,49
2022-05-22,53
2022-05-29,62
2022-06-05,52
2022-06-12,73
2022-06-19,65
2022-06-26,52
2022-07-03,58
2022-07-10,75
2022-07-17,68
2022-07-24,77
2022-07-31,60
2022-08-07,62
2022-08-14,60
2022-08-21,48
2022-08-28,53
2022-09-04,49
2022-09-11,57
2022-09-18,49
2022-09-25,46
2022-10-02,63
2022-10-09,49
2022-10-16,59
2022-10-23,66
2022-10-30,87
2022-11-06,90
2022-11-13,83
2022-11-20,75
2022-11-27,81
2022-12-04,92
2022-12-11,69
2022-12-18,41
2022-12-25,40
2023-01-01,46
2023-01-08,55
2023-01-15,70
2023-01-22,70
2023-01-29,55
2023-02-05,66
2023-02-12,65
2023-02-19,46
2023-02-26,54
