Category: All categories

Week,therapy: (Ontario)
2018-01-07,61
2018-01-14,64
2018-01-21,70
2018-01-28,64
2018-02-04,63
2018-02-11,63
2018-02-18,56
2018-02-25,64
2018-03-04,65
2018-03-11,65
2018-03-18,66
2018-03-25,60
2018-04-01,62
2018-04-08,69
2018-04-15,58
2018-04-22,61
2018-04-29,57
2018-05-06,62
2018-05-13,53
2018-05-20,53
2018-05-27,54
2018-06-03,57
2018-06-10,60
2018-06-17,56
2018-06-24,50
2018-07-01,54
2018-07-08,55
2018-07-15,60
2018-07-22,58
2018-07-29,59
2018-08-05,55
2018-08-12,54
2018-08-19,58
2018-08-26,55
2018-09-02,56
2018-09-09,57
2018-09-16,64
2018-09-23,64
2018-09-30,61
2018-10-07,62
2018-10-14,66
2018-10-21,65
2018-10-28,61
2018-11-04,71
2018-11-11,66
2018-11-18,62
2018-11-25,72
2018-12-02,72
2018-12-09,61
2018-12-16,64
2018-12-23,43
2018-12-30,55
2019-01-06,63
2019-01-13,71
2019-01-20,63
2019-01-27,67
2019-02-03,73
2019-02-10,61
2019-02-17,66
2019-02-24,67
2019-03-03,70
2019-03-10,66
2019-03-17,74
2019-03-24,66
2019-03-31,70
2019-04-07,71
2019-04-14,63
2019-04-21,57
2019-04-28,63
2019-05-05,58
2019-05-12,61
2019-05-19,59
2019-05-26,59
2019-06-02,64
2019-06-09,54
2019-06-16,56
2019-06-23,54
2019-06-30,54
2019-07-07,63
2019-07-14,58
2019-07-21,60
2019-07-28,60
2019-08-04,55
2019-08-11,62
2019-08-18,62
2019-08-25,62
2019-09-01,64
2019-09-08,71
2019-09-15,74
2019-09-22,66
2019-09-29,69
2019-10-06,70
2019-10-13,64
2019-10-20,73
2019-10-27,70
2019-11-03,76
2019-11-10,72
2019-11-17,75
2019-11-24,72
2019-12-01,69
2019-12-08,72
2019-12-15,71
2019-12-22,54
2019-12-29,58
2020-01-05,73
2020-01-12,72
2020-01-19,75
2020-01-26,77
2020-02-02,78
2020-02-09,78
2020-02-16,73
2020-02-23,76
2020-03-01,84
2020-03-08,73
2020-03-15,46
2020-03-22,46
2020-03-29,46
2020-04-05,42
2020-04-12,45
2020-04-19,47
2020-04-26,48
2020-05-03,48
2020-05-10,50
2020-05-17,48
2020-05-24,53
2020-05-31,56
2020-06-07,55
2020-06-14,56
2020-06-21,57
2020-06-28,54
2020-07-05,63
2020-07-12,55
2020-07-19,63
2020-07-26,56
2020-08-02,61
2020-08-09,70
2020-08-16,66
2020-08-23,66
2020-08-30,65
2020-09-06,63
2020-09-13,67
2020-09-20,60
2020-09-27,71
2020-10-04,67
2020-10-11,61
2020-10-18,74
2020-10-25,73
2020-11-01,60
2020-11-08,71
2020-11-15,71
2020-11-22,68
2020-11-29,70
2020-12-06,73
2020-12-13,68
2020-12-20,52
2020-12-27,55
2021-01-03,65
2021-01-10,65
2021-01-17,65
2021-01-24,65
2021-01-31,68
2021-02-07,62
2021-02-14,60
2021-02-21,68
2021-02-28,69
2021-03-07,67
2021-03-14,67
2021-03-21,67
2021-03-28,59
2021-04-04,57
2021-04-11,63
2021-04-18,64
2021-04-25,63
2021-05-02,64
2021-05-09,61
2021-05-16,58
2021-05-23,55
2021-05-30,57
2021-06-06,54
2021-06-13,56
2021-06-20,61
2021-06-27,58
2021-07-04,66
2021-07-11,68
2021-07-18,64
2021-07-25,65
2021-08-01,57
2021-08-08,67
2021-08-15,67
2021-08-22,70
2021-08-29,62
2021-09-05,58
2021-09-12,71
2021-09-19,71
2021-09-26,71
2021-10-03,74
2021-10-10,67
2021-10-17,80
2021-10-24,75
2021-10-31,75
2021-11-07,76
2021-11-14,80
2021-11-21,70
2021-11-28,100
2021-12-05,89
2021-12-12,64
2021-12-19,50
2021-12-26,55
2022-01-02,89
2022-01-09,83
2022-01-16,73
2022-01-23,81
2022-01-30,79
2022-02-06,82
2022-02-13,75
2022-02-20,79
2022-02-27,85
2022-03-06,85
2022-03-13,78
2022-03-20,79
2022-03-27,78
2022-04-03,83
2022-04-10,71
2022-04-17,76
2022-04-24,73
2022-05-01,73
2022-05-08,60
2022-05-15,66
2022-05-22,60
2022-05-29,66
2022-06-05,73
2022-06-12,72
2022-06-19,70
2022-06-26,66
2022-07-03,67
2022-07-10,72
2022-07-17,72
2022-07-24,71
2022-07-31,71
2022-08-07,76
2022-08-14,71
2022-08-21,67
2022-08-28,69
2022-09-04,70
2022-09-11,73
2022-09-18,72
2022-09-25,74
2022-10-02,77
2022-10-09,73
2022-10-16,76
2022-10-23,76
2022-10-30,89
2022-11-06,85
2022-11-13,80
2022-11-20,77
2022-11-27,73
2022-12-04,83
2022-12-11,79
2022-12-18,71
2022-12-25,55
2023-01-01,78
2023-01-08,87
2023-01-15,86
2023-01-22,87
2023-01-29,89
2023-02-05,90
2023-02-12,80
2023-02-19,79
2023-02-26,89
